"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2019,"Ards and North Down","Hourly (excluding overtime)","Full-Time",28,14,14
"Number of Jobs (Thousands)",2019,"Ards and North Down","Hourly (excluding overtime)","Part-Time",19,14,5
"Number of Jobs (Thousands)",2019,"Ards and North Down","Weekly","All",47,28,19
"Number of Jobs (Thousands)",2019,"Ards and North Down","Weekly","Full-Time",28,14,14
"Number of Jobs (Thousands)",2019,"Ards and North Down","Weekly","Part-Time",19,14,5
"Number of Jobs (Thousands)",2020,"Northern Ireland","Hourly (excluding overtime)","All",1002,508,494
"Number of Jobs (Thousands)",2020,"Northern Ireland","Hourly (excluding overtime)","Full-Time",705,292,413
"Number of Jobs (Thousands)",2020,"Northern Ireland","Hourly (excluding overtime)","Part-Time",297,216,81
"Number of Jobs (Thousands)",2020,"Northern Ireland","Weekly","All",1002,508,494
"Number of Jobs (Thousands)",2020,"Northern Ireland","Weekly","Full-Time",705,292,413
"Number of Jobs (Thousands)",2020,"Northern Ireland","Weekly","Part-Time",297,216,81
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",71,38,33
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",48,21,27
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",23,18,NA
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Weekly","All",71,38,33
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Weekly","Full-Time",48,21,27
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Weekly","Part-Time",23,18,NA
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",108,54,53
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",75,30,45
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",32,24,8
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Weekly","All",108,54,53
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",75,30,45
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",32,24,8
"Number of Jobs (Thousands)",2020,"Belfast","Hourly (excluding overtime)","All",290,148,142
"Number of Jobs (Thousands)",2020,"Belfast","Hourly (excluding overtime)","Full-Time",217,94,123
"Number of Jobs (Thousands)",2020,"Belfast","Hourly (excluding overtime)","Part-Time",72,53,19
"Number of Jobs (Thousands)",2020,"Belfast","Weekly","All",290,148,142
"Number of Jobs (Thousands)",2020,"Belfast","Weekly","Full-Time",217,94,123
"Number of Jobs (Thousands)",2020,"Belfast","Weekly","Part-Time",72,53,19
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","All",56,31,25
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",38,16,21
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",18,15,NA
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Weekly","All",56,31,25
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Weekly","Full-Time",38,16,21
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Weekly","Part-Time",18,15,NA
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Hourly (excluding overtime)","All",75,39,35
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",46,20,26
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",28,19,9
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Weekly","All",75,39,35
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Weekly","Full-Time",46,20,26
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Weekly","Part-Time",28,19,9
"Number of Jobs (Thousands)",2020,"Fermanagh and Omagh","Hourly (excluding overtime)","All",53,29,24
