"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Median Wage",2018,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",8.21,8.12,8.88
"Median Wage",2018,"Causeway Coast and Glens","Weekly","All",364.5,322.6,387.2
"Median Wage",2018,"Causeway Coast and Glens","Weekly","Full-Time",430.1,433,426.3
"Median Wage",2018,"Causeway Coast and Glens","Weekly","Part-Time",183.8,182.6,NA
"Median Wage",2018,"Derry City and Strabane","Hourly (excluding overtime)","All",10.54,10.92,10
"Median Wage",2018,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",11.75,13.66,10.57
"Median Wage",2018,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",8.34,8.51,7.94
"Median Wage",2018,"Derry City and Strabane","Weekly","All",377.8,352.1,392.3
"Median Wage",2018,"Derry City and Strabane","Weekly","Full-Time",483.2,513.1,459.4
"Median Wage",2018,"Derry City and Strabane","Weekly","Part-Time",180,177.5,180.1
"Median Wage",2018,"Fermanagh and Omagh","Hourly (excluding overtime)","All",10.13,9.61,10.67
"Median Wage",2018,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",11.18,11.1,11.14
"Median Wage",2018,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",8.98,9.1,8.05
"Median Wage",2018,"Fermanagh and Omagh","Weekly","All",346.9,297.2,434.3
"Median Wage",2018,"Fermanagh and Omagh","Weekly","Full-Time",488.6,406.1,528.6
"Median Wage",2018,"Fermanagh and Omagh","Weekly","Part-Time",193.4,205.6,NA
"Median Wage",2018,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",11.5,11.48,11.51
"Median Wage",2018,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",12.81,14.07,12
"Median Wage",2018,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",8.83,8.91,NA
"Median Wage",2018,"Lisburn and Castlereagh","Weekly","All",430.4,376.7,472.5
"Median Wage",2018,"Lisburn and Castlereagh","Weekly","Full-Time",539.6,538.1,538.3
"Median Wage",2018,"Lisburn and Castlereagh","Weekly","Part-Time",188.2,184.9,196.6
"Median Wage",2018,"Mid and East Antrim","Hourly (excluding overtime)","All",10.86,10,11.65
"Median Wage",2018,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",12.19,11.65,12.37
"Median Wage",2018,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",8.79,8.97,8.01
"Median Wage",2018,"Mid and East Antrim","Weekly","All",397,316,457.9
"Median Wage",2018,"Mid and East Antrim","Weekly","Full-Time",495.8,463.1,517.5
"Median Wage",2018,"Mid and East Antrim","Weekly","Part-Time",182.3,182,NA
"Median Wage",2018,"Mid Ulster","Hourly (excluding overtime)","All",9.75,9.07,10.05
"Median Wage",2018,"Mid Ulster","Hourly (excluding overtime)","Full-Time",10.5,10.05,10.57
"Median Wage",2018,"Mid Ulster","Hourly (excluding overtime)","Part-Time",8.19,8.21,7.84
"Median Wage",2018,"Mid Ulster","Weekly","All",384.2,300.8,454.5
"Median Wage",2018,"Mid Ulster","Weekly","Full-Time",462.2,421.1,481.4
"Median Wage",2018,"Mid Ulster","Weekly","Part-Time",165.7,182.6,142.5
"Median Wage",2018,"Newry, Mourne and Down","Hourly (excluding overtime)","All",10.32,10,10.56
"Median Wage",2018,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",10.99,11.21,10.97
"Median Wage",2018,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",8.8,9.24,8.02
"Median Wage",2018,"Newry, Mourne and Down","Weekly","All",384,325.6,440.1
"Median Wage",2018,"Newry, Mourne and Down","Weekly","Full-Time",478.2,452.6,479.6
"Median Wage",2018,"Newry, Mourne and Down","Weekly","Part-Time",172.3,184.1,150.2
"Median Wage",2018,"Ards and North Down","Hourly (excluding overtime)","All",10.03,9.46,10.67
"Median Wage",2018,"Ards and North Down","Hourly (excluding overtime)","Full-Time",11.54,11.98,11.01
"Median Wage",2018,"Ards and North Down","Hourly (excluding overtime)","Part-Time",8.53,8.49,8.48
"Median Wage",2018,"Ards and North Down","Weekly","All",331.9,288.7,387.4
"Median Wage",2018,"Ards and North Down","Weekly","Full-Time",458.2,468.2,451.4
"Median Wage",2018,"Ards and North Down","Weekly","Part-Time",156.3,158.3,NA
"Median Wage",2019,"Northern Ireland","Hourly (excluding overtime)","All",11.72,11.05,12.3
"Median Wage",2019,"Northern Ireland","Hourly (excluding overtime)","Full-Time",12.88,13.13,12.76
"Median Wage",2019,"Northern Ireland","Hourly (excluding overtime)","Part-Time",9.55,9.58,9.47
"Median Wage",2019,"Northern Ireland","Weekly","All",428.6,362.1,495.5
"Median Wage",2019,"Northern Ireland","Weekly","Full-Time",534.5,508.3,548.7
"Median Wage",2019,"Northern Ireland","Weekly","Part-Time",194.7,197.6,181.7
"Median Wage",2019,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",11.83,11.82,11.91
"Median Wage",2019,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",13.12,15.07,12.37
"Median Wage",2019,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",9.42,9.49,9.06
"Median Wage",2019,"Antrim and Newtownabbey","Weekly","All",452.8,392.2,475.6
"Median Wage",2019,"Antrim and Newtownabbey","Weekly","Full-Time",542.3,588.7,505.2
"Median Wage",2019,"Antrim and Newtownabbey","Weekly","Part-Time",183.6,184.9,NA
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",11.36,10.47,11.89
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",12.53,12.8,12.28
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",9.44,9.5,8.76
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","Weekly","All",420.6,356.1,490.1
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",524.2,490.6,546.9
"Median Wage",2019,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",200.4,204.5,NA
"Median Wage",2019,"Belfast","Hourly (excluding overtime)","All",13.21,12.29,14.33
"Median Wage",2019,"Belfast","Hourly (excluding overtime)","Full-Time",14.49,14.02,15.17
"Median Wage",2019,"Belfast","Hourly (excluding overtime)","Part-Time",10,10,9.94
"Median Wage",2019,"Belfast","Weekly","All",476.5,399.9,548.8
"Median Wage",2019,"Belfast","Weekly","Full-Time",575.5,536.6,600.9
"Median Wage",2019,"Belfast","Weekly","Part-Time",219.2,223.6,202.3
"Median Wage",2019,"Causeway Coast and Glens","Hourly (excluding overtime)","All",10.3,10.34,10.18
"Median Wage",2019,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",10.86,11.83,10.47
"Median Wage",2019,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",9.5,9.53,9.25
"Median Wage",2019,"Causeway Coast and Glens","Weekly","All",373.7,341.5,403.7
"Median Wage",2019,"Causeway Coast and Glens","Weekly","Full-Time",447.9,482,442.5
"Median Wage",2019,"Causeway Coast and Glens","Weekly","Part-Time",183.5,205.5,NA
"Median Wage",2019,"Derry City and Strabane","Hourly (excluding overtime)","All",11.5,11.42,11.55
"Median Wage",2019,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",12.15,13.13,11.85
"Median Wage",2019,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",9.67,9.14,10.52
"Median Wage",2019,"Derry City and Strabane","Weekly","All",380.7,329,416.1
"Median Wage",2019,"Derry City and Strabane","Weekly","Full-Time",488.8,523.3,475
"Median Wage",2019,"Derry City and Strabane","Weekly","Part-Time",187.2,178,211.3
"Median Wage",2019,"Fermanagh and Omagh","Hourly (excluding overtime)","All",11.32,11.2,11.44
"Median Wage",2019,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",12.5,13.15,12.24
"Median Wage",2019,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",9.99,10.21,8.98
"Median Wage",2019,"Fermanagh and Omagh","Weekly","All",401.2,348.7,463
"Median Wage",2019,"Fermanagh and Omagh","Weekly","Full-Time",532.4,496.3,540.6
"Median Wage",2019,"Fermanagh and Omagh","Weekly","Part-Time",216.4,241.9,NA
"Median Wage",2019,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",11.74,11.69,11.79
"Median Wage",2019,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",13.33,14.16,12.63
"Median Wage",2019,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",9.63,9.85,8.74
"Median Wage",2019,"Lisburn and Castlereagh","Weekly","All",430.9,367.3,498.3
"Median Wage",2019,"Lisburn and Castlereagh","Weekly","Full-Time",533.3,549.5,533
"Median Wage",2019,"Lisburn and Castlereagh","Weekly","Part-Time",204.4,207.4,194.6
"Median Wage",2019,"Mid and East Antrim","Hourly (excluding overtime)","All",11.15,10.1,11.99
"Median Wage",2019,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",12.3,11.78,12.32
"Median Wage",2019,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",9.3,9.28,9.1
"Median Wage",2019,"Mid and East Antrim","Weekly","All",402.5,332.3,464.2
"Median Wage",2019,"Mid and East Antrim","Weekly","Full-Time",497,445,519.1
"Median Wage",2019,"Mid and East Antrim","Weekly","Part-Time",193.3,199.9,NA
"Median Wage",2019,"Mid Ulster","Hourly (excluding overtime)","All",10.42,9.5,11.54
"Median Wage",2019,"Mid Ulster","Hourly (excluding overtime)","Full-Time",11.22,9.8,11.8
"Median Wage",2019,"Mid Ulster","Hourly (excluding overtime)","Part-Time",9,8.97,9
"Median Wage",2019,"Mid Ulster","Weekly","All",407.9,316.8,479.7
"Median Wage",2019,"Mid Ulster","Weekly","Full-Time",479.2,390.6,516.5
"Median Wage",2019,"Mid Ulster","Weekly","Part-Time",148.7,148.1,155.5
"Median Wage",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","All",10.75,10.21,11.33
"Median Wage",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",11.99,12.06,11.97
"Median Wage",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",9.52,9.58,8.54
"Median Wage",2019,"Newry, Mourne and Down","Weekly","All",403.7,350.7,476.5
"Median Wage",2019,"Newry, Mourne and Down","Weekly","Full-Time",512.4,486.6,523.2
"Median Wage",2019,"Newry, Mourne and Down","Weekly","Part-Time",177.3,185.3,NA
"Median Wage",2019,"Ards and North Down","Hourly (excluding overtime)","All",10.07,10,10.68
"Median Wage",2019,"Ards and North Down","Hourly (excluding overtime)","Full-Time",11.29,11.28,11.3
"Median Wage",2019,"Ards and North Down","Hourly (excluding overtime)","Part-Time",9,8.98,9.11
"Median Wage",2019,"Ards and North Down","Weekly","All",347.5,316.6,390.7
"Median Wage",2019,"Ards and North Down","Weekly","Full-Time",447.2,437.4,457.6
"Median Wage",2019,"Ards and North Down","Weekly","Part-Time",179.2,178.8,NA
"Median Wage",2020,"Northern Ireland","Hourly (excluding overtime)","All",11.96,11.51,12.23
"Median Wage",2020,"Northern Ireland","Hourly (excluding overtime)","Full-Time",13.02,13.73,12.77
"Median Wage",2020,"Northern Ireland","Hourly (excluding overtime)","Part-Time",9.75,9.82,9.46
"Median Wage",2020,"Northern Ireland","Weekly","All",432,376.6,478
"Median Wage",2020,"Northern Ireland","Weekly","Full-Time",528.7,524.8,530.9
"Median Wage",2020,"Northern Ireland","Weekly","Part-Time",197.8,203.6,182.3
"Median Wage",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",11.82,12.65,11.22
"Median Wage",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",13.05,15.85,11.71
"Median Wage",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",9.57,9.66,8.87
"Median Wage",2020,"Antrim and Newtownabbey","Weekly","All",421.6,402.1,436
"Median Wage",2020,"Antrim and Newtownabbey","Weekly","Full-Time",530.4,592.5,480.8
"Median Wage",2020,"Antrim and Newtownabbey","Weekly","Part-Time",180.4,199.6,NA
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",11.36,11.09,11.59
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",12.35,13.02,11.97
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",9.84,9.88,9.38
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","Weekly","All",423.4,373.8,462
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",508.1,524.1,494.2
"Median Wage",2020,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",214,233.3,182
"Median Wage",2020,"Belfast","Hourly (excluding overtime)","All",13.53,12.73,14.41
"Median Wage",2020,"Belfast","Hourly (excluding overtime)","Full-Time",14.98,14.65,15.15
"Median Wage",2020,"Belfast","Hourly (excluding overtime)","Part-Time",10.01,10.09,9.86
"Median Wage",2020,"Belfast","Weekly","All",489.5,422.4,562.7
"Median Wage",2020,"Belfast","Weekly","Full-Time",585,569.1,596
"Median Wage",2020,"Belfast","Weekly","Part-Time",210.2,214.1,199
"Median Wage",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","All",10.5,10.79,10.49
"Median Wage",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",11.48,12.27,10.7
"Median Wage",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",9.74,9.79,9.55
"Median Wage",2020,"Causeway Coast and Glens","Weekly","All",380.5,343.2,404.9
"Median Wage",2020,"Causeway Coast and Glens","Weekly","Full-Time",450.6,460.1,427.1
"Median Wage",2020,"Causeway Coast and Glens","Weekly","Part-Time",207.6,212,NA
"Median Wage",2020,"Derry City and Strabane","Hourly (excluding overtime)","All",11.89,11.83,11.95
"Median Wage",2020,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",13.07,14.33,12.78
"Median Wage",2020,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",9.82,9.54,10.26
"Median Wage",2020,"Derry City and Strabane","Weekly","All",388.7,324.6,442.7
"Median Wage",2020,"Derry City and Strabane","Weekly","Full-Time",528.8,529.1,519
"Median Wage",2020,"Derry City and Strabane","Weekly","Part-Time",190.8,178,217.5
"Median Wage",2020,"Fermanagh and Omagh","Hourly (excluding overtime)","All",11.21,11.03,11.38
"Median Wage",2020,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",12.09,12.53,11.79
"Median Wage",2020,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",10.03,10.05,9.93
"Median Wage",2020,"Fermanagh and Omagh","Weekly","All",380.4,331.9,433.1
"Median Wage",2020,"Fermanagh and Omagh","Weekly","Full-Time",505,474.4,520.1
"Median Wage",2020,"Fermanagh and Omagh","Weekly","Part-Time",226.1,250.3,NA
"Median Wage",2020,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",11.19,11.38,11.19
"Median Wage",2020,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",12.37,13.79,11.64
"Median Wage",2020,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",9.62,9.62,9.83
"Median Wage",2020,"Lisburn and Castlereagh","Weekly","All",406.8,349.8,438.3
"Median Wage",2020,"Lisburn and Castlereagh","Weekly","Full-Time",496.6,534.4,471.5
"Median Wage",2020,"Lisburn and Castlereagh","Weekly","Part-Time",184,184.4,NA
"Median Wage",2020,"Mid and East Antrim","Hourly (excluding overtime)","All",10.81,10.31,11.5
"Median Wage",2020,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",11.5,11.22,11.59
"Median Wage",2020,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",9.38,9.62,NA
"Median Wage",2020,"Mid and East Antrim","Weekly","All",399.6,337,456.8
"Median Wage",2020,"Mid and East Antrim","Weekly","Full-Time",463,415.7,481
"Median Wage",2020,"Mid and East Antrim","Weekly","Part-Time",173.7,197.2,NA
"Median Wage",2020,"Mid Ulster","Hourly (excluding overtime)","All",10.22,10,10.54
"Median Wage",2020,"Mid Ulster","Hourly (excluding overtime)","Full-Time",11,10.85,11.02
"Median Wage",2020,"Mid Ulster","Hourly (excluding overtime)","Part-Time",9,9.2,8.88
"Median Wage",2020,"Mid Ulster","Weekly","All",385.5,308.6,408.5
"Median Wage",2020,"Mid Ulster","Weekly","Full-Time",449.8,441,461.9
"Median Wage",2020,"Mid Ulster","Weekly","Part-Time",165.1,163.1,164
"Median Wage",2020,"Newry, Mourne and Down","Hourly (excluding overtime)","All",11.17,10.81,11.31
"Median Wage",2020,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",11.8,11.93,11.64
"Median Wage",2020,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",10.09,10.15,9.21
"Median Wage",2020,"Newry, Mourne and Down","Weekly","All",420.7,364.1,470.2
"Median Wage",2020,"Newry, Mourne and Down","Weekly","Full-Time",496.8,484.7,504.9
"Median Wage",2020,"Newry, Mourne and Down","Weekly","Part-Time",201.5,215.8,162.5
"Median Wage",2020,"Ards and North Down","Hourly (excluding overtime)","All",10.5,10.41,10.91
"Median Wage",2020,"Ards and North Down","Hourly (excluding overtime)","Full-Time",12,11.93,12
"Median Wage",2020,"Ards and North Down","Hourly (excluding overtime)","Part-Time",9.43,9.44,9.05
"Median Wage",2020,"Ards and North Down","Weekly","All",359,318,419.2
"Median Wage",2020,"Ards and North Down","Weekly","Full-Time",479.6,477.4,481.7
"Median Wage",2020,"Ards and North Down","Weekly","Part-Time",185.7,182.5,194
"Median Wage",2021,"Northern Ireland","Hourly (excluding overtime)","All",12.79,12.47,13.08
"Median Wage",2021,"Northern Ireland","Hourly (excluding overtime)","Full-Time",14.26,14.76,14
"Median Wage",2021,"Northern Ireland","Hourly (excluding overtime)","Part-Time",10.01,10.22,9.83
"Median Wage",2021,"Northern Ireland","Weekly","All",470,409.5,528.5
"Median Wage",2021,"Northern Ireland","Weekly","Full-Time",574.9,558.2,582.9
"Median Wage",2021,"Northern Ireland","Weekly","Part-Time",205.3,213.8,177.3
"Median Wage",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",12.35,12.32,12.47
"Median Wage",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",13.26,15.48,12.99
"Median Wage",2021,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",9.69,9.91,9.05
"Median Wage",2021,"Antrim and Newtownabbey","Weekly","All",465.8,405.2,514.9
"Median Wage",2021,"Antrim and Newtownabbey","Weekly","Full-Time",555.1,577.3,547.4
"Median Wage",2021,"Antrim and Newtownabbey","Weekly","Part-Time",186.3,202.8,NA
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",12.5,12.35,12.7
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",14.11,14.83,13.61
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",10.01,10.37,9.02
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","Weekly","All",450.4,404.6,492.6
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",562.8,562.8,561.4
"Median Wage",2021,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",212,230.7,NA
"Median Wage",2021,"Belfast","Hourly (excluding overtime)","All",14.74,14.21,15.36
"Median Wage",2021,"Belfast","Hourly (excluding overtime)","Full-Time",15.85,15.65,16.05
"Median Wage",2021,"Belfast","Hourly (excluding overtime)","Part-Time",10.7,10.95,9.82
"Median Wage",2021,"Belfast","Weekly","All",539.3,477.3,596.2
"Median Wage",2021,"Belfast","Weekly","Full-Time",613.3,596.5,625.6
"Median Wage",2021,"Belfast","Weekly","Part-Time",224.3,235.5,206.1
"Median Wage",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","All",10.46,10.51,10.31
"Median Wage",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",11.28,12.4,10.72
"Median Wage",2021,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",9.55,9.5,9.68
"Median Wage",2021,"Causeway Coast and Glens","Weekly","All",378.5,323.4,419.9
"Median Wage",2021,"Causeway Coast and Glens","Weekly","Full-Time",460,473.9,450.8
"Median Wage",2021,"Causeway Coast and Glens","Weekly","Part-Time",183.2,185,NA
"Median Wage",2021,"Derry City and Strabane","Hourly (excluding overtime)","All",11.95,12.35,11.56
"Median Wage",2021,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",13.38,16.04,12.01
"Median Wage",2021,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",9.62,9.55,10.23
"Median Wage",2021,"Derry City and Strabane","Weekly","All",420.5,376.9,448.8
"Median Wage",2021,"Derry City and Strabane","Weekly","Full-Time",533.9,599.5,501
"Median Wage",2021,"Derry City and Strabane","Weekly","Part-Time",191.5,189.9,191.6
"Median Wage",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","All",11.98,11.8,12.33
"Median Wage",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",12.81,12.59,13.11
"Median Wage",2021,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",10,10.5,9.08
"Median Wage",2021,"Fermanagh and Omagh","Weekly","All",424.2,358.5,507.5
"Median Wage",2021,"Fermanagh and Omagh","Weekly","Full-Time",539.9,488.8,594.9
"Median Wage",2021,"Fermanagh and Omagh","Weekly","Part-Time",192,244.7,NA
"Median Wage",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",13.5,13.14,13.79
"Median Wage",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",14.43,14.41,14.53
"Median Wage",2021,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",10.81,10.81,10.67
"Median Wage",2021,"Lisburn and Castlereagh","Weekly","All",478.1,418.2,534.4
"Median Wage",2021,"Lisburn and Castlereagh","Weekly","Full-Time",582,554.6,586.4
"Median Wage",2021,"Lisburn and Castlereagh","Weekly","Part-Time",226,234.3,199.7
"Median Wage",2021,"Mid and East Antrim","Hourly (excluding overtime)","All",11.95,10.61,12.83
"Median Wage",2021,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",13,13.07,12.88
"Median Wage",2021,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",9.89,9.82,11.46
"Median Wage",2021,"Mid and East Antrim","Weekly","All",420.9,357.1,487.6
"Median Wage",2021,"Mid and East Antrim","Weekly","Full-Time",534.5,488.2,571.7
"Median Wage",2021,"Mid and East Antrim","Weekly","Part-Time",206.6,212.1,NA
"Median Wage",2021,"Mid Ulster","Hourly (excluding overtime)","All",11.63,10.67,12.02
"Median Wage",2021,"Mid Ulster","Hourly (excluding overtime)","Full-Time",12.5,12.3,12.5
"Median Wage",2021,"Mid Ulster","Hourly (excluding overtime)","Part-Time",9.63,9.5,10
"Median Wage",2021,"Mid Ulster","Weekly","All",458.8,369.9,500
"Median Wage",2021,"Mid Ulster","Weekly","Full-Time",530.4,468.6,544.3
"Median Wage",2021,"Mid Ulster","Weekly","Part-Time",156.1,184.5,NA
"Median Wage",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","All",11.66,11.47,11.97
"Median Wage",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",12.66,13.28,12.15
"Median Wage",2021,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",10.19,9.99,10.54
"Median Wage",2021,"Newry, Mourne and Down","Weekly","All",429.8,402.3,479
"Median Wage",2021,"Newry, Mourne and Down","Weekly","Full-Time",521.7,498.3,552
"Median Wage",2021,"Newry, Mourne and Down","Weekly","Part-Time",209,211.4,194.4
"Median Wage",2021,"Ards and North Down","Hourly (excluding overtime)","All",11.5,12.27,11.41
"Median Wage",2021,"Ards and North Down","Hourly (excluding overtime)","Full-Time",13.05,14.6,12.11
"Median Wage",2021,"Ards and North Down","Hourly (excluding overtime)","Part-Time",10.16,10.31,9.96
"Median Wage",2021,"Ards and North Down","Weekly","All",376.4,344.5,442
"Median Wage",2021,"Ards and North Down","Weekly","Full-Time",553.9,557,538.9
"Median Wage",2021,"Ards and North Down","Weekly","Part-Time",206.9,211.4,195.4
"Median Wage",2022,"Northern Ireland","Hourly (excluding overtime)","All",13.4,12.9,13.95
"Median Wage",2022,"Northern Ireland","Hourly (excluding overtime)","Full-Time",14.85,15.36,14.48
"Median Wage",2022,"Northern Ireland","Hourly (excluding overtime)","Part-Time",10.68,10.69,10.58
"Median Wage",2022,"Northern Ireland","Weekly","All",499.2,438.6,555.9
"Median Wage",2022,"Northern Ireland","Weekly","Full-Time",596.8,585.6,600.9
"Median Wage",2022,"Northern Ireland","Weekly","Part-Time",222.9,230,200
"Median Wage",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",12.94,12.44,14
"Median Wage",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",14.2,14.71,14.19
"Median Wage",2022,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",10.45,10.46,10.26
"Median Wage",2022,"Antrim and Newtownabbey","Weekly","All",491.7,425.2,550.3
"Median Wage",2022,"Antrim and Newtownabbey","Weekly","Full-Time",571,600.1,563.2
"Median Wage",2022,"Antrim and Newtownabbey","Weekly","Part-Time",189.8,189.8,NA
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",12.91,12.63,13.56
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",14.03,14.23,14
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",11,11.1,10.01
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","Weekly","All",481.3,418.3,562.5
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",592,560,622.3
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",230.7,238.1,200.6
"Median Wage",2022,"Belfast","Hourly (excluding overtime)","All",15.25,14.91,15.8
"Median Wage",2022,"Belfast","Hourly (excluding overtime)","Full-Time",16.52,16.35,16.79
"Median Wage",2022,"Belfast","Hourly (excluding overtime)","Part-Time",11.59,11.69,10.7
"Median Wage",2022,"Belfast","Weekly","All",555.9,505.3,619.1
"Median Wage",2022,"Belfast","Weekly","Full-Time",649.5,619.1,665
"Median Wage",2022,"Belfast","Weekly","Part-Time",250,267.6,207
"Median Wage",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","All",11.59,11.25,11.98
"Median Wage",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",12.4,13.26,12.07
"Median Wage",2022,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",10.14,10.14,10.07
"Median Wage",2022,"Causeway Coast and Glens","Weekly","All",431.7,382.5,475.8
"Median Wage",2022,"Causeway Coast and Glens","Weekly","Full-Time",508.4,530.6,498.3
"Median Wage",2022,"Causeway Coast and Glens","Weekly","Part-Time",224.4,232.2,NA
"Median Wage",2022,"Derry City and Strabane","Hourly (excluding overtime)","All",12.83,12.69,12.94
"Median Wage",2022,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",13.65,16.68,13.13
"Median Wage",2022,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",10.39,10.27,11.48
"Median Wage",2022,"Derry City and Strabane","Weekly","All",459.7,390.4,497.5
"Median Wage",2022,"Derry City and Strabane","Weekly","Full-Time",562.7,614.4,549.5
"Median Wage",2022,"Derry City and Strabane","Weekly","Part-Time",202.5,201.1,207.7
