"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Median Hours Worked",2020,"Newry, Mourne and Down","Part Time",20,NA,20
"Median Hours Worked",2020,"Northern Ireland","All Jobs",32.4,38.5,37
"Median Hours Worked",2020,"Northern Ireland","Full Time",37.5,39.9,38
"Median Hours Worked",2020,"Northern Ireland","Part Time",20,19.9,20
"Median Hours Worked",2021,"Antrim and Newtownabbey","All Jobs",32.4,39.9,37.5
"Median Hours Worked",2021,"Antrim and Newtownabbey","Full Time",37.5,40,38
"Median Hours Worked",2021,"Antrim and Newtownabbey","Part Time",18.8,NA,18.7
"Median Hours Worked",2021,"Ards and North Down","All Jobs",28.6,37,35
"Median Hours Worked",2021,"Ards and North Down","Full Time",37.5,39.3,37.9
"Median Hours Worked",2021,"Ards and North Down","Part Time",18.6,18.6,18.7
"Median Hours Worked",2021,"Armagh City, Banbridge and Craigavon","All Jobs",32.4,38.8,36.5
"Median Hours Worked",2021,"Armagh City, Banbridge and Craigavon","Full Time",37.5,40,38.8
"Median Hours Worked",2021,"Armagh City, Banbridge and Craigavon","Part Time",20,18.5,19.7
"Median Hours Worked",2021,"Belfast","All Jobs",36,37.5,37
"Median Hours Worked",2021,"Belfast","Full Time",37.5,37.5,37.5
"Median Hours Worked",2021,"Belfast","Part Time",20.2,20.9,20.4
"Median Hours Worked",2021,"Causeway Coast and Glens","All Jobs",30,38.9,35
"Median Hours Worked",2021,"Causeway Coast and Glens","Full Time",37,40,38
"Median Hours Worked",2021,"Causeway Coast and Glens","Part Time",19.2,NA,19.7
"Median Hours Worked",2021,"Derry City and Strabane","All Jobs",32.2,37.5,35
"Median Hours Worked",2021,"Derry City and Strabane","Full Time",37.5,38.6,37.5
"Median Hours Worked",2021,"Derry City and Strabane","Part Time",19.1,18.1,18.8
"Median Hours Worked",2021,"Fermanagh and Omagh","All Jobs",30.4,38.8,35
"Median Hours Worked",2021,"Fermanagh and Omagh","Full Time",37,40,37.5
"Median Hours Worked",2021,"Fermanagh and Omagh","Part Time",21.1,NA,18.2
"Median Hours Worked",2021,"Lisburn and Castlereagh","All Jobs",32.6,38.9,37.5
"Median Hours Worked",2021,"Lisburn and Castlereagh","Full Time",37.5,39.5,37.6
"Median Hours Worked",2021,"Lisburn and Castlereagh","Part Time",20.7,18.7,20
"Median Hours Worked",2021,"Mid and East Antrim","All Jobs",30,37.9,35.8
"Median Hours Worked",2021,"Mid and East Antrim","Full Time",37.1,40,38
"Median Hours Worked",2021,"Mid and East Antrim","Part Time",21,NA,19.4
"Median Hours Worked",2021,"Mid Ulster","All Jobs",32.4,40,38.4
"Median Hours Worked",2021,"Mid Ulster","Full Time",37.5,40,40
"Median Hours Worked",2021,"Mid Ulster","Part Time",19.1,NA,17.3
"Median Hours Worked",2021,"Newry, Mourne and Down","All Jobs",32.5,39,37
"Median Hours Worked",2021,"Newry, Mourne and Down","Full Time",37.5,40,39.7
"Median Hours Worked",2021,"Newry, Mourne and Down","Part Time",20,19.6,20
"Median Hours Worked",2021,"Northern Ireland","All Jobs",32.4,38,37
"Median Hours Worked",2021,"Northern Ireland","Full Time",37.5,39.9,37.8
"Median Hours Worked",2021,"Northern Ireland","Part Time",20,18.5,19.8
"Median Hours Worked",2022,"Antrim and Newtownabbey","All Jobs",35,39,37.5
"Median Hours Worked",2022,"Antrim and Newtownabbey","Full Time",37.5,39.6,38
"Median Hours Worked",2022,"Antrim and Newtownabbey","Part Time",17.7,NA,17.5
"Median Hours Worked",2022,"Ards and North Down","All Jobs",27.9,37,34.5
"Median Hours Worked",2022,"Ards and North Down","Full Time",37.5,38.2,37.5
"Median Hours Worked",2022,"Ards and North Down","Part Time",19.8,21.9,20
"Median Hours Worked",2022,"Armagh City, Banbridge and Craigavon","All Jobs",32,39,36.5
"Median Hours Worked",2022,"Armagh City, Banbridge and Craigavon","Full Time",37.4,39.9,37.5
"Median Hours Worked",2022,"Armagh City, Banbridge and Craigavon","Part Time",21,16.3,20.8
"Median Hours Worked",2022,"Belfast","All Jobs",35.9,37.5,37
"Median Hours Worked",2022,"Belfast","Full Time",37.5,37.5,37.5
"Median Hours Worked",2022,"Belfast","Part Time",20.8,16,20
"Median Hours Worked",2022,"Causeway Coast and Glens","All Jobs",31.6,39.9,35.4
"Median Hours Worked",2022,"Causeway Coast and Glens","Full Time",37,40,38.1
"Median Hours Worked",2022,"Causeway Coast and Glens","Part Time",22.7,NA,21.3
"Median Hours Worked",2022,"Derry City and Strabane","All Jobs",32.4,37.5,36
"Median Hours Worked",2022,"Derry City and Strabane","Full Time",37.5,38.6,37.5
"Median Hours Worked",2022,"Derry City and Strabane","Part Time",19,NA,18.7
"Median Hours Worked",2022,"Fermanagh and Omagh","All Jobs",31.4,39,35.2
"Median Hours Worked",2022,"Fermanagh and Omagh","Full Time",36.4,40,38.6
"Median Hours Worked",2022,"Fermanagh and Omagh","Part Time",19.4,NA,19.1
"Median Hours Worked",2022,"Lisburn and Castlereagh","All Jobs",34.6,38.3,37.5
"Median Hours Worked",2022,"Lisburn and Castlereagh","Full Time",37.5,39.1,37.5
"Median Hours Worked",2022,"Lisburn and Castlereagh","Part Time",19,17.2,18.7
"Median Hours Worked",2022,"Mid and East Antrim","All Jobs",31.6,38.4,36
"Median Hours Worked",2022,"Mid and East Antrim","Full Time",37,40,37.9
"Median Hours Worked",2022,"Mid and East Antrim","Part Time",18.3,NA,18.5
"Median Hours Worked",2022,"Mid Ulster","All Jobs",32.4,40,38
"Median Hours Worked",2022,"Mid Ulster","Full Time",37.5,40,40
"Median Hours Worked",2022,"Mid Ulster","Part Time",19.9,16.4,18.3
"Median Hours Worked",2022,"Newry, Mourne and Down","All Jobs",31.4,39.8,36
"Median Hours Worked",2022,"Newry, Mourne and Down","Full Time",37.5,40,39.2
"Median Hours Worked",2022,"Newry, Mourne and Down","Part Time",19,17.5,18.7
"Median Hours Worked",2022,"Northern Ireland","All Jobs",32.5,38,37
"Median Hours Worked",2022,"Northern Ireland","Full Time",37.5,39.5,37.5
"Median Hours Worked",2022,"Northern Ireland","Part Time",20,17.4,19.5
"Median Hours Worked",2023,"Antrim and Newtownabbey","All Jobs",33.3,39.9,37.5
"Median Hours Worked",2023,"Antrim and Newtownabbey","Full Time",37.5,40,39.5
"Median Hours Worked",2023,"Antrim and Newtownabbey","Part Time",18.2,20.6,19.9
"Median Hours Worked",2023,"Ards and North Down","All Jobs",30.6,36.7,35
"Median Hours Worked",2023,"Ards and North Down","Full Time",37,37.5,37.5
"Median Hours Worked",2023,"Ards and North Down","Part Time",17.3,NA,17.1
"Median Hours Worked",2023,"Armagh City, Banbridge and Craigavon","All Jobs",31.8,38,36.7
"Median Hours Worked",2023,"Armagh City, Banbridge and Craigavon","Full Time",37.5,39.6,37.6
"Median Hours Worked",2023,"Armagh City, Banbridge and Craigavon","Part Time",20.7,14.5,19.4
"Median Hours Worked",2023,"Belfast","All Jobs",36,37.5,37
"Median Hours Worked",2023,"Belfast","Full Time",37.5,37.5,37.5
"Median Hours Worked",2023,"Belfast","Part Time",20,18.5,19.9
"Median Hours Worked",2023,"Causeway Coast and Glens","All Jobs",32.4,37.5,35
"Median Hours Worked",2023,"Causeway Coast and Glens","Full Time",36.8,39.9,37.5
"Median Hours Worked",2023,"Causeway Coast and Glens","Part Time",21,20.2,20.9
"Median Hours Worked",2023,"Derry City and Strabane","All Jobs",32.3,37.5,36.5
"Median Hours Worked",2023,"Derry City and Strabane","Full Time",37.5,39,37.5
"Median Hours Worked",2023,"Derry City and Strabane","Part Time",19.3,NA,18.9
"Median Hours Worked",2023,"Fermanagh and Omagh","All Jobs",30,39,36
"Median Hours Worked",2023,"Fermanagh and Omagh","Full Time",37.5,40,39
"Median Hours Worked",2023,"Fermanagh and Omagh","Part Time",19.5,NA,18.7
"Median Hours Worked",2023,"Lisburn and Castlereagh","All Jobs",32.4,38.7,37.3
"Median Hours Worked",2023,"Lisburn and Castlereagh","Full Time",37.5,40,38.1
"Median Hours Worked",2023,"Lisburn and Castlereagh","Part Time",18.7,17.3,18.4
"Median Hours Worked",2023,"Mid and East Antrim","All Jobs",32.3,38,36.1
"Median Hours Worked",2023,"Mid and East Antrim","Full Time",37.1,39.9,38
"Median Hours Worked",2023,"Mid and East Antrim","Part Time",18,NA,17.6
"Median Hours Worked",2023,"Mid Ulster","All Jobs",32.8,40,37.5
"Median Hours Worked",2023,"Mid Ulster","Full Time",37.6,40,40
"Median Hours Worked",2023,"Mid Ulster","Part Time",20,16.5,19.3
"Median Hours Worked",2023,"Newry, Mourne and Down","All Jobs",31.1,39.9,36
"Median Hours Worked",2023,"Newry, Mourne and Down","Full Time",37.5,40,39.7
"Median Hours Worked",2023,"Newry, Mourne and Down","Part Time",20,16.5,18.4
"Median Hours Worked",2023,"Northern Ireland","All Jobs",33,37.7,37
"Median Hours Worked",2023,"Northern Ireland","Full Time",37.5,39.8,37.5
"Median Hours Worked",2023,"Northern Ireland","Part Time",19.7,17.5,19.1
"Median Hours Worked",2024,"Antrim and Newtownabbey","All Jobs",33,38.5,37.5
"Median Hours Worked",2024,"Antrim and Newtownabbey","Full Time",37.5,39.6,38
"Median Hours Worked",2024,"Antrim and Newtownabbey","Part Time",18.6,NA,18.7
"Median Hours Worked",2024,"Ards and North Down","All Jobs",28.3,36.9,33.4
"Median Hours Worked",2024,"Ards and North Down","Full Time",37,37.5,37.3
"Median Hours Worked",2024,"Ards and North Down","Part Time",17.4,NA,17.5
"Median Hours Worked",2024,"Armagh City, Banbridge and Craigavon","All Jobs",32.4,38,36.7
"Median Hours Worked",2024,"Armagh City, Banbridge and Craigavon","Full Time",37.5,39.9,37.5
"Median Hours Worked",2024,"Armagh City, Banbridge and Craigavon","Part Time",21.3,15.5,19.1
"Median Hours Worked",2024,"Belfast","All Jobs",36.4,37.4,37
"Median Hours Worked",2024,"Belfast","Full Time",37.4,37.5,37.5
"Median Hours Worked",2024,"Belfast","Part Time",20,19.4,20
"Median Hours Worked",2024,"Causeway Coast and Glens","All Jobs",31.9,37.5,35
"Median Hours Worked",2024,"Causeway Coast and Glens","Full Time",37.3,38.9,37.5
"Median Hours Worked",2024,"Causeway Coast and Glens","Part Time",18,NA,18
"Median Hours Worked",2024,"Derry City and Strabane","All Jobs",32.4,37.5,36
"Median Hours Worked",2024,"Derry City and Strabane","Full Time",37.5,39,37.5
"Median Hours Worked",2024,"Derry City and Strabane","Part Time",19.2,NA,18.9
"Median Hours Worked",2024,"Fermanagh and Omagh","All Jobs",30.1,38,36
"Median Hours Worked",2024,"Fermanagh and Omagh","Full Time",37.5,39.9,38
"Median Hours Worked",2024,"Fermanagh and Omagh","Part Time",19.1,NA,18.7
"Median Hours Worked",2024,"Lisburn and Castlereagh","All Jobs",34.7,37.5,37.5
"Median Hours Worked",2024,"Lisburn and Castlereagh","Full Time",37.5,39.3,37.5
"Median Hours Worked",2024,"Lisburn and Castlereagh","Part Time",16.7,NA,17.5
"Median Hours Worked",2024,"Mid and East Antrim","All Jobs",31.8,38,37.3
"Median Hours Worked",2024,"Mid and East Antrim","Full Time",37.5,39.5,38.4
"Median Hours Worked",2024,"Mid and East Antrim","Part Time",18.6,NA,18
"Median Hours Worked",2024,"Mid Ulster","All Jobs",32.4,40,37.8
"Median Hours Worked",2024,"Mid Ulster","Full Time",37.6,40,40
"Median Hours Worked",2024,"Mid Ulster","Part Time",19.7,NA,18.6
"Median Hours Worked",2024,"Newry, Mourne and Down","All Jobs",32,37.5,35.7
"Median Hours Worked",2024,"Newry, Mourne and Down","Full Time",37.5,39.9,38.7
"Median Hours Worked",2024,"Newry, Mourne and Down","Part Time",19.2,16.1,18
"Median Hours Worked",2024,"Northern Ireland","All Jobs",33.1,37.5,37
"Median Hours Worked",2024,"Northern Ireland","Full Time",37.5,39,37.5
"Median Hours Worked",2024,"Northern Ireland","Part Time",19.1,17.9,18.7
"Median Hours Worked",2025,"Antrim and Newtownabbey","All Jobs",32.7,38,37.5
"Median Hours Worked",2025,"Antrim and Newtownabbey","Full Time",37.5,39.6,37.5
"Median Hours Worked",2025,"Antrim and Newtownabbey","Part Time",19,NA,18.4
"Median Hours Worked",2025,"Ards and North Down","All Jobs",30,36.4,34
"Median Hours Worked",2025,"Ards and North Down","Full Time",37,37.4,37.4
"Median Hours Worked",2025,"Ards and North Down","Part Time",18.1,17.6,18
"Median Hours Worked",2025,"Armagh City, Banbridge and Craigavon","All Jobs",32.4,37.6,37.3
"Median Hours Worked",2025,"Armagh City, Banbridge and Craigavon","Full Time",37.5,39,37.6
"Median Hours Worked",2025,"Armagh City, Banbridge and Craigavon","Part Time",20.2,17.6,19.9
"Median Hours Worked",2025,"Belfast","All Jobs",36,37.4,37
"Median Hours Worked",2025,"Belfast","Full Time",37.4,37.5,37.5
"Median Hours Worked",2025,"Belfast","Part Time",19.5,17.9,19
"Median Hours Worked",2025,"Causeway Coast and Glens","All Jobs",30.2,37.5,33.8
"Median Hours Worked",2025,"Causeway Coast and Glens","Full Time",37,38.1,37.5
"Median Hours Worked",2025,"Causeway Coast and Glens","Part Time",19.2,20.8,19.9
"Median Hours Worked",2025,"Derry City and Strabane","All Jobs",32.4,37.5,36
"Median Hours Worked",2025,"Derry City and Strabane","Full Time",37.4,38.3,37.5
"Median Hours Worked",2025,"Derry City and Strabane","Part Time",20.1,NA,19.8
"Median Hours Worked",2025,"Fermanagh and Omagh","All Jobs",30.5,39.4,36
"Median Hours Worked",2025,"Fermanagh and Omagh","Full Time",37,40,37.6
"Median Hours Worked",2025,"Fermanagh and Omagh","Part Time",19.4,NA,18.7
"Median Hours Worked",2025,"Lisburn and Castlereagh","All Jobs",34.4,37.5,37.4
"Median Hours Worked",2025,"Lisburn and Castlereagh","Full Time",37.5,37.9,37.5
"Median Hours Worked",2025,"Lisburn and Castlereagh","Part Time",18,NA,17.3
"Median Hours Worked",2025,"Mid and East Antrim","All Jobs",32.4,38.9,37.4
"Median Hours Worked",2025,"Mid and East Antrim","Full Time",37.5,39.9,38.2
"Median Hours Worked",2025,"Mid and East Antrim","Part Time",19.6,NA,20
"Median Hours Worked",2025,"Mid Ulster","All Jobs",31.7,40,37.5
"Median Hours Worked",2025,"Mid Ulster","Full Time",37.5,40,40
"Median Hours Worked",2025,"Mid Ulster","Part Time",20.4,NA,19.5
"Median Hours Worked",2025,"Newry, Mourne and Down","All Jobs",30,38.6,34.4
"Median Hours Worked",2025,"Newry, Mourne and Down","Full Time",37.5,40,38.6
"Median Hours Worked",2025,"Newry, Mourne and Down","Part Time",20,20.1,20
"Median Hours Worked",2025,"Northern Ireland","All Jobs",32.9,37.5,37
"Median Hours Worked",2025,"Northern Ireland","Full Time",37.5,38.1,37.5
"Median Hours Worked",2025,"Northern Ireland","Part Time",19.6,17.7,19
"Mean Hours Worked",2014,"Antrim and Newtownabbey","All Jobs",28.9,37.2,32.7
"Mean Hours Worked",2014,"Antrim and Newtownabbey","Full Time",37.3,40.9,39.4
"Mean Hours Worked",2014,"Antrim and Newtownabbey","Part Time",18.7,17.4,18.4
"Mean Hours Worked",2014,"Ards and North Down","All Jobs",26.3,34.3,29.8
"Mean Hours Worked",2014,"Ards and North Down","Full Time",37.2,39.5,38.4
"Mean Hours Worked",2014,"Ards and North Down","Part Time",16.2,17.5,16.5
"Mean Hours Worked",2014,"Armagh City, Banbridge and Craigavon","All Jobs",28.7,36.6,32.4
"Mean Hours Worked",2014,"Armagh City, Banbridge and Craigavon","Full Time",37.3,40.4,39.1
"Mean Hours Worked",2014,"Armagh City, Banbridge and Craigavon","Part Time",19.2,17.6,18.8
"Mean Hours Worked",2014,"Belfast","All Jobs",29.9,36.5,33.5
"Mean Hours Worked",2014,"Belfast","Full Time",37.2,39.4,38.6
"Mean Hours Worked",2014,"Belfast","Part Time",19.3,17.1,18.6
"Mean Hours Worked",2014,"Causeway Coast and Glens","All Jobs",28.2,34.9,30.9
"Mean Hours Worked",2014,"Causeway Coast and Glens","Full Time",37.8,41.1,39.4
"Mean Hours Worked",2014,"Causeway Coast and Glens","Part Time",16.5,16.4,16.5
"Mean Hours Worked",2014,"Derry City and Strabane","All Jobs",26.6,34.7,29.8
"Mean Hours Worked",2014,"Derry City and Strabane","Full Time",36.5,39.3,38
"Mean Hours Worked",2014,"Derry City and Strabane","Part Time",17.2,17.3,17.2
"Mean Hours Worked",2014,"Fermanagh and Omagh","All Jobs",28,36,31.6
"Mean Hours Worked",2014,"Fermanagh and Omagh","Full Time",38.6,40.8,39.8
"Mean Hours Worked",2014,"Fermanagh and Omagh","Part Time",17.4,17.9,17.5
"Mean Hours Worked",2014,"Lisburn and Castlereagh","All Jobs",27.4,37,32.5
"Mean Hours Worked",2014,"Lisburn and Castlereagh","Full Time",37.9,41,39.9
"Mean Hours Worked",2014,"Lisburn and Castlereagh","Part Time",17.4,19,17.8
"Mean Hours Worked",2014,"Mid and East Antrim","All Jobs",28.7,37.1,33.4
"Mean Hours Worked",2014,"Mid and East Antrim","Full Time",36.9,40.5,39.3
"Mean Hours Worked",2014,"Mid and East Antrim","Part Time",19.6,20,19.7
"Mean Hours Worked",2014,"Mid Ulster","All Jobs",27.6,36.9,33
"Mean Hours Worked",2014,"Mid Ulster","Full Time",37.3,41.6,40.2
"Mean Hours Worked",2014,"Mid Ulster","Part Time",16.7,16.2,16.6
"Mean Hours Worked",2014,"Newry, Mourne and Down","All Jobs",28.4,37.1,33.1
"Mean Hours Worked",2014,"Newry, Mourne and Down","Full Time",38.2,41.9,40.6
"Mean Hours Worked",2014,"Newry, Mourne and Down","Part Time",18.7,18.9,18.8
"Mean Hours Worked",2014,"Northern Ireland","All Jobs",28.6,36.7,32.7
"Mean Hours Worked",2014,"Northern Ireland","Full Time",37.5,40.6,39.4
"Mean Hours Worked",2014,"Northern Ireland","Part Time",18.1,17.7,18
"Mean Hours Worked",2015,"Antrim and Newtownabbey","All Jobs",29.1,38.3,33.4
"Mean Hours Worked",2015,"Antrim and Newtownabbey","Full Time",37.3,41,39.4
"Mean Hours Worked",2015,"Antrim and Newtownabbey","Part Time",19.1,19.2,19.1
"Mean Hours Worked",2015,"Ards and North Down","All Jobs",26.3,34.4,29.4
"Mean Hours Worked",2015,"Ards and North Down","Full Time",37.2,39.5,38.4
"Mean Hours Worked",2015,"Ards and North Down","Part Time",17.7,19.6,18.1
"Mean Hours Worked",2015,"Armagh City, Banbridge and Craigavon","All Jobs",28.9,37.2,32.7
"Mean Hours Worked",2015,"Armagh City, Banbridge and Craigavon","Full Time",37.1,40.6,39.1
"Mean Hours Worked",2015,"Armagh City, Banbridge and Craigavon","Part Time",19.1,16,18.5
"Mean Hours Worked",2015,"Belfast","All Jobs",30.5,36.6,33.7
"Mean Hours Worked",2015,"Belfast","Full Time",37.7,39.3,38.7
"Mean Hours Worked",2015,"Belfast","Part Time",19.5,19.1,19.4
"Mean Hours Worked",2015,"Causeway Coast and Glens","All Jobs",29,35.6,31.6
"Mean Hours Worked",2015,"Causeway Coast and Glens","Full Time",38,41.6,39.7
"Mean Hours Worked",2015,"Causeway Coast and Glens","Part Time",17.7,15.5,17.2
"Mean Hours Worked",2015,"Derry City and Strabane","All Jobs",28.5,35.1,31.3
"Mean Hours Worked",2015,"Derry City and Strabane","Full Time",36.8,39.6,38.3
"Mean Hours Worked",2015,"Derry City and Strabane","Part Time",18.7,17.7,18.5
"Mean Hours Worked",2015,"Fermanagh and Omagh","All Jobs",28.6,36.4,32.2
"Mean Hours Worked",2015,"Fermanagh and Omagh","Full Time",38.1,41.3,39.9
"Mean Hours Worked",2015,"Fermanagh and Omagh","Part Time",19.3,17.9,19
"Mean Hours Worked",2015,"Lisburn and Castlereagh","All Jobs",29.5,36.4,33.1
"Mean Hours Worked",2015,"Lisburn and Castlereagh","Full Time",37.2,41.5,39.8
"Mean Hours Worked",2015,"Lisburn and Castlereagh","Part Time",18.8,16.2,17.9
"Mean Hours Worked",2015,"Mid and East Antrim","All Jobs",30,37,34.1
"Mean Hours Worked",2015,"Mid and East Antrim","Full Time",37.6,40.4,39.5
"Mean Hours Worked",2015,"Mid and East Antrim","Part Time",19.8,16.1,18.6
"Mean Hours Worked",2015,"Mid Ulster","All Jobs",28.6,37.3,33.8
"Mean Hours Worked",2015,"Mid Ulster","Full Time",37.3,41.6,40.3
"Mean Hours Worked",2015,"Mid Ulster","Part Time",18.1,17.2,17.8
"Mean Hours Worked",2015,"Newry, Mourne and Down","All Jobs",27.7,35.9,32.1
"Mean Hours Worked",2015,"Newry, Mourne and Down","Full Time",36.9,41,39.6
"Mean Hours Worked",2015,"Newry, Mourne and Down","Part Time",19,18.1,18.7
"Mean Hours Worked",2015,"Northern Ireland","All Jobs",29.3,36.9,33.1
"Mean Hours Worked",2015,"Northern Ireland","Full Time",37.5,40.6,39.4
"Mean Hours Worked",2015,"Northern Ireland","Part Time",18.9,17.7,18.6
"Mean Hours Worked",2016,"Antrim and Newtownabbey","All Jobs",30.5,37.6,33.9
"Mean Hours Worked",2016,"Antrim and Newtownabbey","Full Time",36.9,41,39.2
"Mean Hours Worked",2016,"Antrim and Newtownabbey","Part Time",20,21.1,20.3
"Mean Hours Worked",2016,"Ards and North Down","All Jobs",26.5,34,29.5
"Mean Hours Worked",2016,"Ards and North Down","Full Time",37.6,40.7,39.2
"Mean Hours Worked",2016,"Ards and North Down","Part Time",17.9,17.8,17.9
"Mean Hours Worked",2016,"Armagh City, Banbridge and Craigavon","All Jobs",29.8,37.9,33.8
"Mean Hours Worked",2016,"Armagh City, Banbridge and Craigavon","Full Time",37.7,41,39.7
"Mean Hours Worked",2016,"Armagh City, Banbridge and Craigavon","Part Time",20.1,19.3,19.9
"Mean Hours Worked",2016,"Belfast","All Jobs",30.5,36.4,33.5
"Mean Hours Worked",2016,"Belfast","Full Time",37.8,39.2,38.6
"Mean Hours Worked",2016,"Belfast","Part Time",19.2,18.7,19
"Mean Hours Worked",2016,"Causeway Coast and Glens","All Jobs",28.1,36.3,31.3
"Mean Hours Worked",2016,"Causeway Coast and Glens","Full Time",36.7,41.5,39
"Mean Hours Worked",2016,"Causeway Coast and Glens","Part Time",19.5,18.5,19.3
"Mean Hours Worked",2016,"Derry City and Strabane","All Jobs",28.2,34.2,30.9
"Mean Hours Worked",2016,"Derry City and Strabane","Full Time",36,39.5,37.9
"Mean Hours Worked",2016,"Derry City and Strabane","Part Time",18.7,17.4,18.3
"Mean Hours Worked",2016,"Fermanagh and Omagh","All Jobs",27.1,36.4,31.4
"Mean Hours Worked",2016,"Fermanagh and Omagh","Full Time",37.2,41,39.4
"Mean Hours Worked",2016,"Fermanagh and Omagh","Part Time",17.3,19.3,17.8
"Mean Hours Worked",2016,"Lisburn and Castlereagh","All Jobs",28.7,37.2,32.8
"Mean Hours Worked",2016,"Lisburn and Castlereagh","Full Time",38.2,41.6,40.2
"Mean Hours Worked",2016,"Lisburn and Castlereagh","Part Time",18.3,16,17.7
"Mean Hours Worked",2016,"Mid and East Antrim","All Jobs",28.8,36.4,33
"Mean Hours Worked",2016,"Mid and East Antrim","Full Time",37.2,40.4,39.3
"Mean Hours Worked",2016,"Mid and East Antrim","Part Time",18.8,17.1,18.3
"Mean Hours Worked",2016,"Mid Ulster","All Jobs",28.8,38.5,34.6
"Mean Hours Worked",2016,"Mid Ulster","Full Time",37.6,41.7,40.5
"Mean Hours Worked",2016,"Mid Ulster","Part Time",18.7,17.4,18.3
"Mean Hours Worked",2016,"Newry, Mourne and Down","All Jobs",28.7,37.1,33
"Mean Hours Worked",2016,"Newry, Mourne and Down","Full Time",37.8,41.8,40.3
"Mean Hours Worked",2016,"Newry, Mourne and Down","Part Time",18.8,17.3,18.4
"Mean Hours Worked",2016,"Northern Ireland","All Jobs",29.3,37,33.2
"Mean Hours Worked",2016,"Northern Ireland","Full Time",37.5,40.7,39.5
"Mean Hours Worked",2016,"Northern Ireland","Part Time",18.9,18.2,18.7
"Mean Hours Worked",2017,"Antrim and Newtownabbey","All Jobs",31,37.6,34.1
"Mean Hours Worked",2017,"Antrim and Newtownabbey","Full Time",37.8,40.6,39.3
"Mean Hours Worked",2017,"Antrim and Newtownabbey","Part Time",19.7,18.6,19.4
"Mean Hours Worked",2017,"Ards and North Down","All Jobs",26.2,34.9,29.8
"Mean Hours Worked",2017,"Ards and North Down","Full Time",38.3,40.5,39.5
"Mean Hours Worked",2017,"Ards and North Down","Part Time",16.4,17.9,16.7
"Mean Hours Worked",2017,"Armagh City, Banbridge and Craigavon","All Jobs",31.6,38.1,34.9
"Mean Hours Worked",2017,"Armagh City, Banbridge and Craigavon","Full Time",41.3,41.6,41.5
"Mean Hours Worked",2017,"Armagh City, Banbridge and Craigavon","Part Time",20.6,16.4,19.6
"Mean Hours Worked",2017,"Belfast","All Jobs",30.5,36.8,33.8
"Mean Hours Worked",2017,"Belfast","Full Time",37.7,39.3,38.6
"Mean Hours Worked",2017,"Belfast","Part Time",19,19.7,19.2
"Mean Hours Worked",2017,"Causeway Coast and Glens","All Jobs",27.8,37.6,32.1
"Mean Hours Worked",2017,"Causeway Coast and Glens","Full Time",37.1,41.9,39.8
"Mean Hours Worked",2017,"Causeway Coast and Glens","Part Time",18.1,14.1,17.3
"Mean Hours Worked",2017,"Derry City and Strabane","All Jobs",27.7,35.1,30.9
"Mean Hours Worked",2017,"Derry City and Strabane","Full Time",36.8,40.2,38.6
"Mean Hours Worked",2017,"Derry City and Strabane","Part Time",17.5,18.5,17.8
"Mean Hours Worked",2017,"Fermanagh and Omagh","All Jobs",28,38.8,33
"Mean Hours Worked",2017,"Fermanagh and Omagh","Full Time",37,42.9,40.4
"Mean Hours Worked",2017,"Fermanagh and Omagh","Part Time",18.4,18.5,18.4
"Mean Hours Worked",2017,"Lisburn and Castlereagh","All Jobs",29.5,37.4,33.5
"Mean Hours Worked",2017,"Lisburn and Castlereagh","Full Time",37.2,41.2,39.6
"Mean Hours Worked",2017,"Lisburn and Castlereagh","Part Time",19,17,18.5
"Mean Hours Worked",2017,"Mid and East Antrim","All Jobs",28.8,37.9,33.8
"Mean Hours Worked",2017,"Mid and East Antrim","Full Time",37.7,41.2,40
"Mean Hours Worked",2017,"Mid and East Antrim","Part Time",18.9,20.8,19.5
"Mean Hours Worked",2017,"Mid Ulster","All Jobs",29.6,38.2,34.9
"Mean Hours Worked",2017,"Mid Ulster","Full Time",37.8,41.5,40.4
"Mean Hours Worked",2017,"Mid Ulster","Part Time",20,17.7,19.2
"Mean Hours Worked",2017,"Newry, Mourne and Down","All Jobs",27.8,36.8,32.4
"Mean Hours Worked",2017,"Newry, Mourne and Down","Full Time",37.8,41.6,40.2
"Mean Hours Worked",2017,"Newry, Mourne and Down","Part Time",18.4,15,17.5
"Mean Hours Worked",2017,"Northern Ireland","All Jobs",29.5,37.5,33.5
"Mean Hours Worked",2017,"Northern Ireland","Full Time",38,40.9,39.8
"Mean Hours Worked",2017,"Northern Ireland","Part Time",18.8,18,18.6
"Mean Hours Worked",2018,"Antrim and Newtownabbey","All Jobs",30.5,39.1,34.8
"Mean Hours Worked",2018,"Antrim and Newtownabbey","Full Time",37.2,41.7,39.8
"Mean Hours Worked",2018,"Antrim and Newtownabbey","Part Time",19.1,20.6,19.5
"Mean Hours Worked",2018,"Ards and North Down","All Jobs",27.3,34.6,30.2
"Mean Hours Worked",2018,"Ards and North Down","Full Time",38.1,39.7,39
"Mean Hours Worked",2018,"Ards and North Down","Part Time",17.9,17.8,17.8
"Mean Hours Worked",2018,"Armagh City, Banbridge and Craigavon","All Jobs",30.2,38.7,34.5
"Mean Hours Worked",2018,"Armagh City, Banbridge and Craigavon","Full Time",37.5,42,40.3
"Mean Hours Worked",2018,"Armagh City, Banbridge and Craigavon","Part Time",20.9,18.4,20.3
