"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Number of Jobs (Thousands)",2017,"Antrim and Newtownabbey","All Jobs",31,27,58
"Number of Jobs (Thousands)",2017,"Antrim and Newtownabbey","Full Time",19,24,43
"Number of Jobs (Thousands)",2017,"Antrim and Newtownabbey","Part Time",11,4,15
"Number of Jobs (Thousands)",2017,"Ards and North Down","All Jobs",24,17,42
"Number of Jobs (Thousands)",2017,"Ards and North Down","Full Time",11,13,24
"Number of Jobs (Thousands)",2017,"Ards and North Down","Part Time",14,4,18
"Number of Jobs (Thousands)",2017,"Armagh City, Banbridge and Craigavon","All Jobs",40,41,80
"Number of Jobs (Thousands)",2017,"Armagh City, Banbridge and Craigavon","Full Time",21,35,56
"Number of Jobs (Thousands)",2017,"Armagh City, Banbridge and Craigavon","Part Time",19,6,24
"Number of Jobs (Thousands)",2017,"Belfast","All Jobs",117,127,244
"Number of Jobs (Thousands)",2017,"Belfast","Full Time",72,111,184
"Number of Jobs (Thousands)",2017,"Belfast","Part Time",45,16,61
"Number of Jobs (Thousands)",2017,"Causeway Coast and Glens","All Jobs",23,18,41
"Number of Jobs (Thousands)",2017,"Causeway Coast and Glens","Full Time",12,15,27
"Number of Jobs (Thousands)",2017,"Causeway Coast and Glens","Part Time",11,NA,14
"Number of Jobs (Thousands)",2017,"Derry City and Strabane","All Jobs",35,26,61
"Number of Jobs (Thousands)",2017,"Derry City and Strabane","Full Time",18,20,39
"Number of Jobs (Thousands)",2017,"Derry City and Strabane","Part Time",17,6,23
"Number of Jobs (Thousands)",2017,"Fermanagh and Omagh","All Jobs",23,20,43
"Number of Jobs (Thousands)",2017,"Fermanagh and Omagh","Full Time",12,17,29
"Number of Jobs (Thousands)",2017,"Fermanagh and Omagh","Part Time",11,NA,14
"Number of Jobs (Thousands)",2017,"Lisburn and Castlereagh","All Jobs",31,31,61
"Number of Jobs (Thousands)",2017,"Lisburn and Castlereagh","Full Time",18,26,44
"Number of Jobs (Thousands)",2017,"Lisburn and Castlereagh","Part Time",13,5,18
"Number of Jobs (Thousands)",2017,"Mid and East Antrim","All Jobs",21,26,47
"Number of Jobs (Thousands)",2017,"Mid and East Antrim","Full Time",11,22,33
"Number of Jobs (Thousands)",2017,"Mid and East Antrim","Part Time",10,4,14
"Number of Jobs (Thousands)",2017,"Mid Ulster","All Jobs",23,37,59
"Number of Jobs (Thousands)",2017,"Mid Ulster","Full Time",12,32,44
"Number of Jobs (Thousands)",2017,"Mid Ulster","Part Time",10,5,16
"Number of Jobs (Thousands)",2017,"Newry, Mourne and Down","All Jobs",32,33,65
"Number of Jobs (Thousands)",2017,"Newry, Mourne and Down","Full Time",16,27,42
"Number of Jobs (Thousands)",2017,"Newry, Mourne and Down","Part Time",16,6,22
"Number of Jobs (Thousands)",2017,"Northern Ireland","All Jobs",406,418,824
