"Statistic","Year","Local Government District","Working Pattern","All Persons","Females","Males"
"Median Wage",2021,"Newry, Mourne and Down","Part-Time",10871,NA,NA
"Median Wage",2021,"Ards and North Down","All",19458,17892,24485
"Median Wage",2021,"Ards and North Down","Full-Time",26882,25229,26994
"Median Wage",2021,"Ards and North Down","Part-Time",10692,10556,NA
"Median Wage",2022,"Northern Ireland","All",25419,22129,28682
"Median Wage",2022,"Northern Ireland","Full-Time",30218,28873,31253
"Median Wage",2022,"Northern Ireland","Part-Time",12035,12158,11351
"Median Wage",2022,"Antrim and Newtownabbey","All",24622,22520,26756
"Median Wage",2022,"Antrim and Newtownabbey","Full-Time",29864,29911,29769
"Median Wage",2022,"Antrim and Newtownabbey","Part-Time",10857,10336,NA
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","All",24651,22271,27621
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","Full-Time",29352,27846,29805
"Median Wage",2022,"Armagh City, Banbridge and Craigavon","Part-Time",11782,12460,NA
"Median Wage",2022,"Belfast","All",28700,25710,32409
"Median Wage",2022,"Belfast","Full-Time",33490,31193,34356
"Median Wage",2022,"Belfast","Part-Time",13892,14322,12881
"Median Wage",2022,"Causeway Coast and Glens","All",22477,NA,24285
"Median Wage",2022,"Causeway Coast and Glens","Full-Time",26976,28236,25933
"Median Wage",2022,"Causeway Coast and Glens","Part-Time",NA,NA,NA
"Median Wage",2022,"Derry City and Strabane","All",22239,19445,24785
"Median Wage",2022,"Derry City and Strabane","Full-Time",26594,27984,26549
"Median Wage",2022,"Derry City and Strabane","Part-Time",10942,10071,NA
"Median Wage",2022,"Fermanagh and Omagh","All",23686,NA,27811
"Median Wage",2022,"Fermanagh and Omagh","Full-Time",28186,24711,30723
"Median Wage",2022,"Fermanagh and Omagh","Part-Time",NA,NA,NA
"Median Wage",2022,"Lisburn and Castlereagh","All",25222,21247,27869
"Median Wage",2022,"Lisburn and Castlereagh","Full-Time",29165,27299,30457
"Median Wage",2022,"Lisburn and Castlereagh","Part-Time",12002,12434,11048
"Median Wage",2022,"Mid and East Antrim","All",22752,19527,26338
"Median Wage",2022,"Mid and East Antrim","Full-Time",26657,24545,28300
"Median Wage",2022,"Mid and East Antrim","Part-Time",12297,12417,NA
"Median Wage",2022,"Mid Ulster","All",24479,19498,27185
"Median Wage",2022,"Mid Ulster","Full-Time",28158,25802,29436
"Median Wage",2022,"Mid Ulster","Part-Time",10484,10515,NA
"Median Wage",2022,"Newry, Mourne and Down","All",24059,21099,NA
"Median Wage",2022,"Newry, Mourne and Down","Full-Time",27459,27005,NA
"Median Wage",2022,"Newry, Mourne and Down","Part-Time",11661,11661,NA
"Median Wage",2022,"Ards and North Down","All",20169,18674,22559
"Median Wage",2022,"Ards and North Down","Full-Time",27867,26500,28333
"Median Wage",2022,"Ards and North Down","Part-Time",11719,11699,NA
"Median Wage",2023,"Northern Ireland","All",26789,23332,30786
"Median Wage",2023,"Northern Ireland","Full-Time",32737,30801,33591
"Median Wage",2023,"Northern Ireland","Part-Time",12500,12719,12036
"Median Wage",2023,"Antrim and Newtownabbey","All",26516,24258,30578
"Median Wage",2023,"Antrim and Newtownabbey","Full-Time",30580,28214,31840
"Median Wage",2023,"Antrim and Newtownabbey","Part-Time",NA,11777,NA
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","All",26763,22229,32042
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","Full-Time",32803,29912,34286
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","Part-Time",13102,13665,NA
"Median Wage",2023,"Belfast","All",31531,26601,37184
"Median Wage",2023,"Belfast","Full-Time",36233,33369,39766
"Median Wage",2023,"Belfast","Part-Time",14124,14439,13170
"Median Wage",2023,"Causeway Coast and Glens","All",23180,21201,24802
"Median Wage",2023,"Causeway Coast and Glens","Full-Time",27021,29041,26497
"Median Wage",2023,"Causeway Coast and Glens","Part-Time",12494,12964,NA
"Median Wage",2023,"Derry City and Strabane","All",24291,21199,25648
"Median Wage",2023,"Derry City and Strabane","Full-Time",29906,30989,29432
"Median Wage",2023,"Derry City and Strabane","Part-Time",10911,10490,NA
"Median Wage",2023,"Fermanagh and Omagh","All",25069,21013,27659
"Median Wage",2023,"Fermanagh and Omagh","Full-Time",30997,31189,30753
"Median Wage",2023,"Fermanagh and Omagh","Part-Time",13233,14245,NA
"Median Wage",2023,"Lisburn and Castlereagh","All",25892,21023,27941
"Median Wage",2023,"Lisburn and Castlereagh","Full-Time",30309,30098,29880
"Median Wage",2023,"Lisburn and Castlereagh","Part-Time",10293,NA,NA
"Median Wage",2023,"Mid and East Antrim","All",24231,22265,28274
"Median Wage",2023,"Mid and East Antrim","Full-Time",29219,27838,30032
"Median Wage",2023,"Mid and East Antrim","Part-Time",13047,14697,NA
"Median Wage",2023,"Mid Ulster","All",26617,19401,31329
"Median Wage",2023,"Mid Ulster","Full-Time",31473,26372,33100
"Median Wage",2023,"Mid Ulster","Part-Time",11895,11781,NA
"Median Wage",2023,"Newry, Mourne and Down","All",23824,21860,25649
"Median Wage",2023,"Newry, Mourne and Down","Full-Time",28094,27634,28391
"Median Wage",2023,"Newry, Mourne and Down","Part-Time",11983,12491,NA
"Median Wage",2023,"Ards and North Down","All",22488,19862,26156
"Median Wage",2023,"Ards and North Down","Full-Time",29462,33385,28238
"Median Wage",2023,"Ards and North Down","Part-Time",11371,11526,NA
"Median Wage",2024,"Northern Ireland","All",28759,24654,32755
"Median Wage",2024,"Northern Ireland","Full-Time",34232,32303,35639
"Median Wage",2024,"Northern Ireland","Part-Time",12807,13075,12350
"Median Wage",2024,"Antrim and Newtownabbey","All",29303,25297,32607
"Median Wage",2024,"Antrim and Newtownabbey","Full-Time",34153,32855,34260
"Median Wage",2024,"Antrim and Newtownabbey","Part-Time",12899,12134,NA
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","All",27711,22436,32726
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","Full-Time",32948,30502,34989
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","Part-Time",12492,12863,NA
"Median Wage",2024,"Belfast","All",32099,28277,36996
"Median Wage",2024,"Belfast","Full-Time",37157,34200,39797
"Median Wage",2024,"Belfast","Part-Time",14400,14993,13466
"Median Wage",2024,"Causeway Coast and Glens","All",24547,21313,26597
"Median Wage",2024,"Causeway Coast and Glens","Full-Time",28398,29456,28229
"Median Wage",2024,"Causeway Coast and Glens","Part-Time",13583,14810,NA
"Median Wage",2024,"Derry City and Strabane","All",26738,23574,30161
"Median Wage",2024,"Derry City and Strabane","Full-Time",32286,33164,32218
"Median Wage",2024,"Derry City and Strabane","Part-Time",12034,11556,NA
"Median Wage",2024,"Fermanagh and Omagh","All",27310,23020,31404
"Median Wage",2024,"Fermanagh and Omagh","Full-Time",32708,29519,35835
"Median Wage",2024,"Fermanagh and Omagh","Part-Time",NA,NA,NA
"Median Wage",2024,"Lisburn and Castlereagh","All",28444,23538,32288
"Median Wage",2024,"Lisburn and Castlereagh","Full-Time",34806,34148,35345
"Median Wage",2024,"Lisburn and Castlereagh","Part-Time",11548,10705,NA
"Median Wage",2024,"Mid and East Antrim","All",26310,21294,31398
"Median Wage",2024,"Mid and East Antrim","Full-Time",31584,27970,33875
"Median Wage",2024,"Mid and East Antrim","Part-Time",12561,12795,NA
"Median Wage",2024,"Mid Ulster","All",27825,21885,32189
"Median Wage",2024,"Mid Ulster","Full-Time",32450,28823,33998
"Median Wage",2024,"Mid Ulster","Part-Time",12401,12748,NA
"Median Wage",2024,"Newry, Mourne and Down","All",26089,22788,28260
"Median Wage",2024,"Newry, Mourne and Down","Full-Time",30519,29265,31749
"Median Wage",2024,"Newry, Mourne and Down","Part-Time",11929,12399,NA
"Median Wage",2024,"Ards and North Down","All",23278,19991,26880
"Median Wage",2024,"Ards and North Down","Full-Time",30101,29200,32473
"Median Wage",2024,"Ards and North Down","Part-Time",11311,11918,NA
"Median Wage",2025,"Northern Ireland","All",31084,27527,35042
"Median Wage",2025,"Northern Ireland","Full-Time",37052,35533,38053
"Median Wage",2025,"Northern Ireland","Part-Time",14019,14473,12509
"Median Wage",2025,"Antrim and Newtownabbey","All",32035,28033,36118
"Median Wage",2025,"Antrim and Newtownabbey","Full-Time",37256,35112,38202
"Median Wage",2025,"Antrim and Newtownabbey","Part-Time",15683,16188,NA
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","All",29432,26714,33259
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","Full-Time",35654,31746,36354
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","Part-Time",13697,15060,12071
"Median Wage",2025,"Belfast","All",34542,31439,38801
"Median Wage",2025,"Belfast","Full-Time",40588,38748,42224
"Median Wage",2025,"Belfast","Part-Time",14918,15550,13740
"Median Wage",2025,"Causeway Coast and Glens","All",26613,22612,29028
"Median Wage",2025,"Causeway Coast and Glens","Full-Time",31968,31910,32558
"Median Wage",2025,"Causeway Coast and Glens","Part-Time",13031,13308,NA
"Median Wage",2025,"Derry City and Strabane","All",30508,25744,34953
"Median Wage",2025,"Derry City and Strabane","Full-Time",36358,33818,37210
"Median Wage",2025,"Derry City and Strabane","Part-Time",14173,14070,NA
"Median Wage",2025,"Fermanagh and Omagh","All",29547,23903,34048
"Median Wage",2025,"Fermanagh and Omagh","Full-Time",36825,33261,37726
"Median Wage",2025,"Fermanagh and Omagh","Part-Time",13617,14832,NA
"Median Wage",2025,"Lisburn and Castlereagh","All",32277,26719,37568
"Median Wage",2025,"Lisburn and Castlereagh","Full-Time",38253,36092,39561
"Median Wage",2025,"Lisburn and Castlereagh","Part-Time",13183,13347,NA
"Median Wage",2025,"Mid and East Antrim","All",29803,24525,32742
"Median Wage",2025,"Mid and East Antrim","Full-Time",33127,30575,35001
"Median Wage",2025,"Mid and East Antrim","Part-Time",13780,16072,12799
"Median Wage",2025,"Mid Ulster","All",28945,NA,32578
"Median Wage",2025,"Mid Ulster","Full-Time",33768,32016,34721
"Median Wage",2025,"Mid Ulster","Part-Time",NA,NA,NA
"Median Wage",2025,"Newry, Mourne and Down","All",27961,NA,30903
"Median Wage",2025,"Newry, Mourne and Down","Full-Time",33462,NA,33384
"Median Wage",2025,"Newry, Mourne and Down","Part-Time",13343,NA,NA
"Median Wage",2025,"Ards and North Down","All",25395,23755,27010
"Median Wage",2025,"Ards and North Down","Full-Time",31167,31069,31245
"Median Wage",2025,"Ards and North Down","Part-Time",12590,12909,NA
"Mean Wage",2014,"Northern Ireland","All",22664,18441,26978
"Mean Wage",2014,"Northern Ireland","Full-Time",28263,25476,30056
"Mean Wage",2014,"Northern Ireland","Part-Time",10496,10489,10518
"Mean Wage",2014,"Antrim and Newtownabbey","All",23170,20871,26075
"Mean Wage",2014,"Antrim and Newtownabbey","Full-Time",28357,27941,NA
"Mean Wage",2014,"Antrim and Newtownabbey","Part-Time",12361,12497,11856
"Mean Wage",2014,"Armagh City, Banbridge and Craigavon","All",20506,17545,24001
"Mean Wage",2014,"Armagh City, Banbridge and Craigavon","Full-Time",25315,23583,26516
"Mean Wage",2014,"Armagh City, Banbridge and Craigavon","Part-Time",11455,11650,NA
"Mean Wage",2014,"Belfast","All",25767,20402,30588
"Mean Wage",2014,"Belfast","Full-Time",30519,26815,32645
"Mean Wage",2014,"Belfast","Part-Time",11967,11799,12595
"Mean Wage",2014,"Causeway Coast and Glens","All",18657,17319,20666
"Mean Wage",2014,"Causeway Coast and Glens","Full-Time",23923,24115,23714
"Mean Wage",2014,"Causeway Coast and Glens","Part-Time",8811,8438,9913
"Mean Wage",2014,"Derry City and Strabane","All",20481,19011,22728
"Mean Wage",2014,"Derry City and Strabane","Full-Time",25956,25617,26288
"Mean Wage",2014,"Derry City and Strabane","Part-Time",11767,NA,9844
"Mean Wage",2014,"Fermanagh and Omagh","All",17864,15856,20553
"Mean Wage",2014,"Fermanagh and Omagh","Full-Time",23579,22953,24145
"Mean Wage",2014,"Fermanagh and Omagh","Part-Time",8622,8390,9248
"Mean Wage",2014,"Lisburn and Castlereagh","All",19868,16070,23163
"Mean Wage",2014,"Lisburn and Castlereagh","Full-Time",25096,23407,25966
"Mean Wage",2014,"Lisburn and Castlereagh","Part-Time",8749,8800,8613
"Mean Wage",2014,"Mid and East Antrim","All",23018,18286,26757
"Mean Wage",2014,"Mid and East Antrim","Full-Time",28642,25842,29976
"Mean Wage",2014,"Mid and East Antrim","Part-Time",10006,10406,8996
"Mean Wage",2014,"Mid Ulster","All",20229,16603,23470
"Mean Wage",2014,"Mid Ulster","Full-Time",25455,23466,26602
"Mean Wage",2014,"Mid Ulster","Part-Time",9090,8947,NA
"Mean Wage",2014,"Newry, Mourne and Down","All",19499,14867,23439
"Mean Wage",2014,"Newry, Mourne and Down","Full-Time",25104,21806,26799
"Mean Wage",2014,"Newry, Mourne and Down","Part-Time",9351,8570,10989
"Mean Wage",2014,"Ards and North Down","All",19186,15939,23964
"Mean Wage",2014,"Ards and North Down","Full-Time",27268,25860,28528
"Mean Wage",2014,"Ards and North Down","Part-Time",8082,7519,NA
"Mean Wage",2015,"Northern Ireland","All",23740,19653,28027
"Mean Wage",2015,"Northern Ireland","Full-Time",29376,26844,31115
"Mean Wage",2015,"Northern Ireland","Part-Time",10566,10610,10429
"Mean Wage",2015,"Antrim and Newtownabbey","All",23912,19872,28585
"Mean Wage",2015,"Antrim and Newtownabbey","Full-Time",29687,27402,31321
"Mean Wage",2015,"Antrim and Newtownabbey","Part-Time",10466,10898,8572
"Mean Wage",2015,"Armagh City, Banbridge and Craigavon","All",21298,17712,25912
"Mean Wage",2015,"Armagh City, Banbridge and Craigavon","Full-Time",26594,24958,27808
"Mean Wage",2015,"Armagh City, Banbridge and Craigavon","Part-Time",9810,9928,NA
"Mean Wage",2015,"Belfast","All",27108,22565,31516
"Mean Wage",2015,"Belfast","Full-Time",32222,29519,34024
"Mean Wage",2015,"Belfast","Part-Time",11562,11634,11318
"Mean Wage",2015,"Causeway Coast and Glens","All",19453,17993,21877
"Mean Wage",2015,"Causeway Coast and Glens","Full-Time",25064,24415,25867
"Mean Wage",2015,"Causeway Coast and Glens","Part-Time",9717,9765,9575
"Mean Wage",2015,"Derry City and Strabane","All",21039,19163,23575
"Mean Wage",2015,"Derry City and Strabane","Full-Time",26653,26202,27093
"Mean Wage",2015,"Derry City and Strabane","Part-Time",10050,9906,10446
"Mean Wage",2015,"Fermanagh and Omagh","All",20341,17630,24025
"Mean Wage",2015,"Fermanagh and Omagh","Full-Time",26377,24992,27553
"Mean Wage",2015,"Fermanagh and Omagh","Part-Time",10591,10487,NA
"Mean Wage",2015,"Lisburn and Castlereagh","All",20719,18825,22669
"Mean Wage",2015,"Lisburn and Castlereagh","Full-Time",25934,25600,26182
"Mean Wage",2015,"Lisburn and Castlereagh","Part-Time",9048,9419,8232
"Mean Wage",2015,"Mid and East Antrim","All",25658,19891,29605
"Mean Wage",2015,"Mid and East Antrim","Full-Time",30468,26639,32137
"Mean Wage",2015,"Mid and East Antrim","Part-Time",11148,11271,10838
"Mean Wage",2015,"Mid Ulster","All",21300,NA,24092
"Mean Wage",2015,"Mid Ulster","Full-Time",25790,23108,27136
"Mean Wage",2015,"Mid Ulster","Part-Time",NA,NA,11937
"Mean Wage",2015,"Newry, Mourne and Down","All",21175,17837,24469
"Mean Wage",2015,"Newry, Mourne and Down","Full-Time",26689,23782,28484
"Mean Wage",2015,"Newry, Mourne and Down","Part-Time",11710,12225,10542
"Mean Wage",2015,"Ards and North Down","All",18701,16664,22575
"Mean Wage",2015,"Ards and North Down","Full-Time",26037,25555,26573
"Mean Wage",2015,"Ards and North Down","Part-Time",9860,9705,NA
"Mean Wage",2016,"Northern Ireland","All",24587,20332,28924
"Mean Wage",2016,"Northern Ireland","Full-Time",30189,27485,32029
"Mean Wage",2016,"Northern Ireland","Part-Time",10756,10805,10608
"Mean Wage",2016,"Antrim and Newtownabbey","All",25120,22502,28048
"Mean Wage",2016,"Antrim and Newtownabbey","Full-Time",29995,29241,30593
"Mean Wage",2016,"Antrim and Newtownabbey","Part-Time",12342,12123,NA
"Mean Wage",2016,"Armagh City, Banbridge and Craigavon","All",23166,19205,27093
"Mean Wage",2016,"Armagh City, Banbridge and Craigavon","Full-Time",27279,25205,28633
"Mean Wage",2016,"Armagh City, Banbridge and Craigavon","Part-Time",12733,11288,NA
"Mean Wage",2016,"Belfast","All",27871,22644,33110
"Mean Wage",2016,"Belfast","Full-Time",33563,29892,36100
"Mean Wage",2016,"Belfast","Part-Time",11151,11361,10443
"Mean Wage",2016,"Causeway Coast and Glens","All",18629,17529,20630
"Mean Wage",2016,"Causeway Coast and Glens","Full-Time",24050,23986,24126
"Mean Wage",2016,"Causeway Coast and Glens","Part-Time",10064,10696,7390
"Mean Wage",2016,"Derry City and Strabane","All",20794,19666,22152
"Mean Wage",2016,"Derry City and Strabane","Full-Time",26204,27259,25285
"Mean Wage",2016,"Derry City and Strabane","Part-Time",9674,9479,10160
"Mean Wage",2016,"Fermanagh and Omagh","All",19866,17301,23364
"Mean Wage",2016,"Fermanagh and Omagh","Full-Time",25686,24535,26677
"Mean Wage",2016,"Fermanagh and Omagh","Part-Time",9480,9651,8869
"Mean Wage",2016,"Lisburn and Castlereagh","All",22100,19594,24907
"Mean Wage",2016,"Lisburn and Castlereagh","Full-Time",28023,27718,28247
"Mean Wage",2016,"Lisburn and Castlereagh","Part-Time",9025,9603,7195
"Mean Wage",2016,"Mid and East Antrim","All",25816,19849,30481
"Mean Wage",2016,"Mid and East Antrim","Full-Time",31576,26672,34125
"Mean Wage",2016,"Mid and East Antrim","Part-Time",10558,10958,9646
"Mean Wage",2016,"Mid Ulster","All",23046,18084,26361
"Mean Wage",2016,"Mid Ulster","Full-Time",27781,24309,29253
"Mean Wage",2016,"Mid Ulster","Part-Time",10326,10732,9476
"Mean Wage",2016,"Newry, Mourne and Down","All",22155,18297,25599
"Mean Wage",2016,"Newry, Mourne and Down","Full-Time",27110,24134,28859
"Mean Wage",2016,"Newry, Mourne and Down","Part-Time",11161,11411,10587
"Mean Wage",2016,"Ards and North Down","All",20189,17200,24684
"Mean Wage",2016,"Ards and North Down","Full-Time",26892,24952,28658
"Mean Wage",2016,"Ards and North Down","Part-Time",9946,10059,9520
"Mean Wage",2017,"Northern Ireland","All",24975,20993,28876
"Mean Wage",2017,"Northern Ireland","Full-Time",30254,28133,31625
"Mean Wage",2017,"Northern Ireland","Part-Time",11426,11499,11198
"Mean Wage",2017,"Antrim and Newtownabbey","All",25845,22545,29769
"Mean Wage",2017,"Antrim and Newtownabbey","Full-Time",30077,28072,31813
"Mean Wage",2017,"Antrim and Newtownabbey","Part-Time",12583,12383,NA
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","All",25844,22781,28892
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","Full-Time",30359,NA,29557
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","Part-Time",NA,12976,NA
"Mean Wage",2017,"Belfast","All",28454,23334,33205
"Mean Wage",2017,"Belfast","Full-Time",33359,29676,35761
"Mean Wage",2017,"Belfast","Part-Time",12450,12636,NA
"Mean Wage",2017,"Causeway Coast and Glens","All",19367,17967,21367
"Mean Wage",2017,"Causeway Coast and Glens","Full-Time",24207,24776,23707
"Mean Wage",2017,"Causeway Coast and Glens","Part-Time",9713,10296,6897
"Mean Wage",2017,"Derry City and Strabane","All",22107,19662,25465
"Mean Wage",2017,"Derry City and Strabane","Full-Time",28272,26694,29864
"Mean Wage",2017,"Derry City and Strabane","Part-Time",10835,10672,11250
"Mean Wage",2017,"Fermanagh and Omagh","All",21435,18260,25125
"Mean Wage",2017,"Fermanagh and Omagh","Full-Time",27086,NA,28411
"Mean Wage",2017,"Fermanagh and Omagh","Part-Time",NA,NA,NA
"Mean Wage",2017,"Lisburn and Castlereagh","All",22301,20229,24404
"Mean Wage",2017,"Lisburn and Castlereagh","Full-Time",27969,28491,27618
"Mean Wage",2017,"Lisburn and Castlereagh","Part-Time",9997,10292,NA
"Mean Wage",2017,"Mid and East Antrim","All",23539,19933,26175
"Mean Wage",2017,"Mid and East Antrim","Full-Time",28220,26159,29230
"Mean Wage",2017,"Mid and East Antrim","Part-Time",11112,11820,9674
"Mean Wage",2017,"Mid Ulster","All",22524,19207,24577
"Mean Wage",2017,"Mid Ulster","Full-Time",26478,26479,26478
"Mean Wage",2017,"Mid Ulster","Part-Time",10824,10860,10739
"Mean Wage",2017,"Newry, Mourne and Down","All",21310,17398,24840
"Mean Wage",2017,"Newry, Mourne and Down","Full-Time",26462,23399,28147
"Mean Wage",2017,"Newry, Mourne and Down","Part-Time",10416,11195,NA
"Mean Wage",2017,"Ards and North Down","All",20275,17473,NA
"Mean Wage",2017,"Ards and North Down","Full-Time",27728,26333,NA
"Mean Wage",2017,"Ards and North Down","Part-Time",9184,9290,NA
"Mean Wage",2018,"Northern Ireland","All",25630,21395,29882
"Mean Wage",2018,"Northern Ireland","Full-Time",31158,28593,32874
"Mean Wage",2018,"Northern Ireland","Part-Time",11909,11841,12113
"Mean Wage",2018,"Antrim and Newtownabbey","All",25921,23710,28349
"Mean Wage",2018,"Antrim and Newtownabbey","Full-Time",30510,30896,30214
"Mean Wage",2018,"Antrim and Newtownabbey","Part-Time",12740,12159,NA
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","All",25656,21310,30129
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","Full-Time",29777,27280,31437
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","Part-Time",15706,13815,NA
"Mean Wage",2018,"Belfast","All",28554,23639,33296
"Mean Wage",2018,"Belfast","Full-Time",33936,30353,36348
"Mean Wage",2018,"Belfast","Part-Time",12661,13044,11494
"Mean Wage",2018,"Causeway Coast and Glens","All",21654,19062,24977
"Mean Wage",2018,"Causeway Coast and Glens","Full-Time",26775,24899,28510
"Mean Wage",2018,"Causeway Coast and Glens","Part-Time",10494,10797,9637
"Mean Wage",2018,"Derry City and Strabane","All",20981,18811,24021
"Mean Wage",2018,"Derry City and Strabane","Full-Time",26408,26045,26747
"Mean Wage",2018,"Derry City and Strabane","Part-Time",10806,10336,12404
"Mean Wage",2018,"Fermanagh and Omagh","All",21967,18674,25792
"Mean Wage",2018,"Fermanagh and Omagh","Full-Time",27636,24504,30093
"Mean Wage",2018,"Fermanagh and Omagh","Part-Time",11433,12056,9839
"Mean Wage",2018,"Lisburn and Castlereagh","All",24147,21512,26973
"Mean Wage",2018,"Lisburn and Castlereagh","Full-Time",29605,29891,29402
"Mean Wage",2018,"Lisburn and Castlereagh","Part-Time",10811,10379,NA
"Mean Wage",2018,"Mid and East Antrim","All",25605,20370,30403
"Mean Wage",2018,"Mid and East Antrim","Full-Time",31269,28048,33184
"Mean Wage",2018,"Mid and East Antrim","Part-Time",12155,11039,NA
"Mean Wage",2018,"Mid Ulster","All",23116,19908,25139
"Mean Wage",2018,"Mid Ulster","Full-Time",27521,26202,28098
"Mean Wage",2018,"Mid Ulster","Part-Time",10114,10952,8682
"Mean Wage",2018,"Newry, Mourne and Down","All",24216,18705,29997
"Mean Wage",2018,"Newry, Mourne and Down","Full-Time",31269,25916,34542
"Mean Wage",2018,"Newry, Mourne and Down","Part-Time",11225,12037,8711
"Mean Wage",2018,"Ards and North Down","All",20454,18281,23639
"Mean Wage",2018,"Ards and North Down","Full-Time",27865,27992,27752
"Mean Wage",2018,"Ards and North Down","Part-Time",9475,9624,8946
"Mean Wage",2019,"Northern Ireland","All",26232,21334,31319
"Mean Wage",2019,"Northern Ireland","Full-Time",32104,28869,34281
"Mean Wage",2019,"Northern Ireland","Part-Time",12292,11915,13512
"Mean Wage",2019,"Antrim and Newtownabbey","All",25850,22398,30077
"Mean Wage",2019,"Antrim and Newtownabbey","Full-Time",31387,30104,32426
"Mean Wage",2019,"Antrim and Newtownabbey","Part-Time",12849,12180,NA
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","All",25414,20920,30564
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","Full-Time",30488,28229,32146
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","Part-Time",14552,12326,NA
"Mean Wage",2019,"Belfast","All",29447,23755,35076
"Mean Wage",2019,"Belfast","Full-Time",34885,30797,37610
"Mean Wage",2019,"Belfast","Part-Time",13444,13177,NA
"Mean Wage",2019,"Causeway Coast and Glens","All",21693,NA,23822
"Mean Wage",2019,"Causeway Coast and Glens","Full-Time",26927,27023,26848
"Mean Wage",2019,"Causeway Coast and Glens","Part-Time",9989,10612,7943
"Mean Wage",2019,"Derry City and Strabane","All",21872,18774,25690
"Mean Wage",2019,"Derry City and Strabane","Full-Time",27924,26746,28910
"Mean Wage",2019,"Derry City and Strabane","Part-Time",11567,10129,15190
"Mean Wage",2019,"Fermanagh and Omagh","All",22988,20074,26373
"Mean Wage",2019,"Fermanagh and Omagh","Full-Time",29457,28451,30099
"Mean Wage",2019,"Fermanagh and Omagh","Part-Time",12142,13112,NA
"Mean Wage",2019,"Lisburn and Castlereagh","All",24431,20004,29274
"Mean Wage",2019,"Lisburn and Castlereagh","Full-Time",31135,28718,32761
"Mean Wage",2019,"Lisburn and Castlereagh","Part-Time",10666,10651,NA
"Mean Wage",2019,"Mid and East Antrim","All",25392,20008,30805
"Mean Wage",2019,"Mid and East Antrim","Full-Time",31649,27915,33899
"Mean Wage",2019,"Mid and East Antrim","Part-Time",11923,11706,NA
"Mean Wage",2019,"Mid Ulster","All",24012,19564,26913
"Mean Wage",2019,"Mid Ulster","Full-Time",28265,25287,29626
"Mean Wage",2019,"Mid Ulster","Part-Time",11054,11044,11073
"Mean Wage",2019,"Newry, Mourne and Down","All",26692,19376,34601
"Mean Wage",2019,"Newry, Mourne and Down","Full-Time",33476,26248,38269
"Mean Wage",2019,"Newry, Mourne and Down","Part-Time",11630,11653,11547
"Mean Wage",2019,"Ards and North Down","All",21541,19139,25154
"Mean Wage",2019,"Ards and North Down","Full-Time",28255,26872,29674
"Mean Wage",2019,"Ards and North Down","Part-Time",10867,10847,10927
"Mean Wage",2020,"Northern Ireland","All",27061,22510,31944
"Mean Wage",2020,"Northern Ireland","Full-Time",32990,30099,35050
"Mean Wage",2020,"Northern Ireland","Part-Time",12822,12549,13696
"Mean Wage",2020,"Antrim and Newtownabbey","All",26616,23418,31004
"Mean Wage",2020,"Antrim and Newtownabbey","Full-Time",32905,32503,33256
"Mean Wage",2020,"Antrim and Newtownabbey","Part-Time",13247,12405,NA
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","All",26380,22861,30323
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","Full-Time",31612,31170,31909
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","Part-Time",15534,14099,NA
"Mean Wage",2020,"Belfast","All",31373,25663,37365
"Mean Wage",2020,"Belfast","Full-Time",36927,32435,40360
"Mean Wage",2020,"Belfast","Part-Time",14202,13655,15891
"Mean Wage",2020,"Causeway Coast and Glens","All",23098,20330,26307
"Mean Wage",2020,"Causeway Coast and Glens","Full-Time",27610,26360,28568
"Mean Wage",2020,"Causeway Coast and Glens","Part-Time",11944,12164,11107
"Mean Wage",2020,"Derry City and Strabane","All",22700,19175,26901
"Mean Wage",2020,"Derry City and Strabane","Full-Time",29965,27925,31654
"Mean Wage",2020,"Derry City and Strabane","Part-Time",10748,9780,12939
"Mean Wage",2020,"Fermanagh and Omagh","All",23767,20398,28249
"Mean Wage",2020,"Fermanagh and Omagh","Full-Time",30124,27398,32177
"Mean Wage",2020,"Fermanagh and Omagh","Part-Time",13321,14245,NA
"Mean Wage",2020,"Lisburn and Castlereagh","All",24751,21416,28558
"Mean Wage",2020,"Lisburn and Castlereagh","Full-Time",30419,28943,31553
