"Statistic","Year","Local Government District","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2018,"Lisburn and Castlereagh","All",48,25,23
"Number of Jobs (Thousands)",2018,"Lisburn and Castlereagh","Full-Time",34,14,20
"Number of Jobs (Thousands)",2018,"Lisburn and Castlereagh","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2018,"Mid and East Antrim","All",41,20,21
"Number of Jobs (Thousands)",2018,"Mid and East Antrim","Full-Time",29,11,18
"Number of Jobs (Thousands)",2018,"Mid and East Antrim","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2018,"Mid Ulster","All",44,17,27
"Number of Jobs (Thousands)",2018,"Mid Ulster","Full-Time",33,10,23
"Number of Jobs (Thousands)",2018,"Mid Ulster","Part-Time",11,7,NA
"Number of Jobs (Thousands)",2018,"Newry, Mourne and Down","All",53,27,26
"Number of Jobs (Thousands)",2018,"Newry, Mourne and Down","Full-Time",34,13,21
"Number of Jobs (Thousands)",2018,"Newry, Mourne and Down","Part-Time",19,14,NA
"Number of Jobs (Thousands)",2018,"Ards and North Down","All",34,20,14
"Number of Jobs (Thousands)",2018,"Ards and North Down","Full-Time",20,9,11
"Number of Jobs (Thousands)",2018,"Ards and North Down","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2019,"Northern Ireland","All",731,373,359
"Number of Jobs (Thousands)",2019,"Northern Ireland","Full-Time",515,207,308
"Number of Jobs (Thousands)",2019,"Northern Ireland","Part-Time",217,166,51
"Number of Jobs (Thousands)",2019,"Antrim and Newtownabbey","All",51,28,23
"Number of Jobs (Thousands)",2019,"Antrim and Newtownabbey","Full-Time",36,16,20
"Number of Jobs (Thousands)",2019,"Antrim and Newtownabbey","Part-Time",15,12,NA
"Number of Jobs (Thousands)",2019,"Armagh City, Banbridge and Craigavon","All",77,41,36
"Number of Jobs (Thousands)",2019,"Armagh City, Banbridge and Craigavon","Full-Time",53,22,30
"Number of Jobs (Thousands)",2019,"Armagh City, Banbridge and Craigavon","Part-Time",25,19,NA
"Number of Jobs (Thousands)",2019,"Belfast","All",211,105,106
"Number of Jobs (Thousands)",2019,"Belfast","Full-Time",158,63,95
"Number of Jobs (Thousands)",2019,"Belfast","Part-Time",54,42,NA
"Number of Jobs (Thousands)",2019,"Causeway Coast and Glens","All",38,NA,17
"Number of Jobs (Thousands)",2019,"Causeway Coast and Glens","Full-Time",NA,NA,15
"Number of Jobs (Thousands)",2019,"Causeway Coast and Glens","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2019,"Derry City and Strabane","All",52,29,23
"Number of Jobs (Thousands)",2019,"Derry City and Strabane","Full-Time",33,NA,NA
"Number of Jobs (Thousands)",2019,"Derry City and Strabane","Part-Time",19,NA,NA
"Number of Jobs (Thousands)",2019,"Fermanagh and Omagh","All",40,21,18
"Number of Jobs (Thousands)",2019,"Fermanagh and Omagh","Full-Time",25,10,15
"Number of Jobs (Thousands)",2019,"Fermanagh and Omagh","Part-Time",15,12,NA
"Number of Jobs (Thousands)",2019,"Lisburn and Castlereagh","All",58,30,28
"Number of Jobs (Thousands)",2019,"Lisburn and Castlereagh","Full-Time",39,16,23
"Number of Jobs (Thousands)",2019,"Lisburn and Castlereagh","Part-Time",19,15,NA
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","All",42,21,21
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Full-Time",29,11,18
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Part-Time",14,10,NA
"Number of Jobs (Thousands)",2019,"Mid Ulster","All",53,21,32
"Number of Jobs (Thousands)",2019,"Mid Ulster","Full-Time",40,NA,27
"Number of Jobs (Thousands)",2019,"Mid Ulster","Part-Time",13,8,NA
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","All",55,29,26
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Full-Time",38,15,23
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Part-Time",17,13,NA
"Number of Jobs (Thousands)",2019,"Ards and North Down","All",37,22,15
"Number of Jobs (Thousands)",2019,"Ards and North Down","Full-Time",23,12,11
"Number of Jobs (Thousands)",2019,"Ards and North Down","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2020,"Northern Ireland","All",840,435,405
"Number of Jobs (Thousands)",2020,"Northern Ireland","Full-Time",593,247,346
